id,stateAbbr,stateName,collectionsPerCapita
0,US,United States,2689
1,AL,Alabama,1920
2,AK,Alaska,7005
4,AZ,Arizona,2045
5,AR,Arkansas,2906
6,CA,California,3490
8,CO,Colorado,2151
9,CT,Connecticut,4505
10,DE,Delaware,3632
12,FL,Florida,1820
13,GA,Georgia,1788
15,HI,Hawaii,4361
16,ID,Idaho,2232
17,IL,Illinois,3008
18,IN,Indiana,2583
19,IA,Iowa,2717
20,KS,Kansas,2637
21,KY,Kentucky,2465
22,LA,Louisiana,1999
23,ME,Maine,2924
24,MD,Maryland,3067
25,MA,Massachusetts,3584
26,MI,Michigan,2522
27,MN,Minnesota,3895
28,MS,Mississippi,2477
29,MO,Missouri,1846
30,MT,Montana,2618
31,NE,Nebraska,2534
32,NV,Nevada,2535
33,NH,New Hampshire,1777
34,NJ,New Jersey,3273
35,NM,New Mexico,2495
36,NY,New York,3756
37,NC,North Carolina,2426
38,ND,North Dakota,7438
39,OH,Ohio,2380
40,OK,Oklahoma,2320
41,OR,Oregon,2340
42,PA,Pennsylvania,2660
44,RI,Rhode Island,2798
45,SC,South Carolina,1836
46,SD,South Dakota,1827
47,TN,Tennessee,1910
48,TX,Texas,1970
49,UT,Utah,2198
50,VT,Vermont,4597
51,VA,Virginia,2333
53,WA,Washington,2692
54,WV,West Virginia,2898
55,WI,Wisconsin,2880
56,WY,Wyoming,3771
