id,stateAbbr,stateName,collectionsPerCapita
0,US,United States,8308
1,AL,Alabama,7032
2,AK,Alaska,23626
4,AZ,Arizona,6670
5,AR,Arkansas,7189
6,CA,California,8795
8,CO,Colorado,7921
9,CT,Connecticut,10058
10,DE,Delaware,9637
11,DC,District of Columbia,17784
12,FL,Florida,6946
13,GA,Georgia,6426
15,HI,Hawaii,9251
16,ID,Idaho,6401
17,IL,Illinois,8160
18,IN,Indiana,7317
19,IA,Iowa,9150
20,KS,Kansas,8202
21,KY,Kentucky,7081
22,LA,Louisiana,8527
23,ME,Maine,8430
24,MD,Maryland,8765
25,MA,Massachusetts,9696
26,MI,Michigan,7680
27,MN,Minnesota,9196
28,MS,Mississippi,8098
29,MO,Missouri,6993
30,MT,Montana,7882
31,NE,Nebraska,8322
32,NV,Nevada,6602
33,NH,New Hampshire,7138
34,NJ,New Jersey,9527
35,NM,New Mexico,8686
36,NY,New York,13037
37,NC,North Carolina,7406
38,ND,North Dakota,15012
39,OH,Ohio,8004
40,OK,Oklahoma,7521
41,OR,Oregon,8412
42,PA,Pennsylvania,8115
44,RI,Rhode Island,9387
45,SC,South Carolina,7185
46,SD,South Dakota,7378
47,TN,Tennessee,6626
48,TX,Texas,7151
49,UT,Utah,7327
50,VT,Vermont,10107
51,VA,Virginia,7530
53,WA,Washington,8243
54,WV,West Virginia,8282
55,WI,Wisconsin,8162
56,WY,Wyoming,15380
