id,stateAbbr,stateName,averageStateLocalTaxRate
0,US,United States,10.12%
1,AL,Alabama,9.28%
2,AK,Alaska,11.77%
4,AZ,Arizona,11.96%
5,AR,Arkansas,13.43%
6,CA,California,10.21%
8,CO,Colorado,10.70%
9,CT,Connecticut,7.78%
10,DE,Delaware,6.23%
11,DC,District of Columbia,11.56%
12,FL,Florida,16.55%
13,GA,Georgia,8.81%
15,HI,Hawaii,6.32%
16,ID,Idaho,2.62%
17,IL,Illinois,15.81%
18,IN,Indiana,10.71%
19,IA,Iowa,8.61%
20,KS,Kansas,12.87%
21,KY,Kentucky,10.48%
22,LA,Louisiana,7.35%
23,ME,Maine,7.31%
24,MD,Maryland,12.37%
25,MA,Massachusetts,7.79%
26,MI,Michigan,8.08%
27,MN,Minnesota,9.42%
28,MS,Mississippi,9.05%
29,MO,Missouri,14.58%
30,MT,Montana,6.00%
31,NE,Nebraska,18.48%
32,NV,Nevada,1.86%
33,NH,New Hampshire,8.17%
34,NJ,New Jersey,8.84%
35,NM,New Mexico,11.02%
36,NY,New York,17.74%
37,NC,North Carolina,8.46%
38,ND,North Dakota,11.38%
39,OH,Ohio,8.45%
40,OK,Oklahoma,9.87%
41,OR,Oregon,1.76%
42,PA,Pennsylvania,14.05%
44,RI,Rhode Island,14.58%
45,SC,South Carolina,10.54%
46,SD,South Dakota,13.02%
47,TN,Tennessee,11.55%
48,TX,Texas,11.73%
49,UT,Utah,12.53%
50,VT,Vermont,8.50%
51,VA,Virginia,6.54%
53,WA,Washington,18.60%
54,WV,West Virginia,6.15%
55,WI,Wisconsin,7.10%
56,WY,Wyoming,7.71%
