id,stateAbbr,stateName,collectionsPerCapita
0,US,United States,0.012
1,AL,Alabama,0.0043
2,AK,Alaska,0.0118
4,AZ,Arizona,0.008
5,AR,Arkansas,0.0062
6,CA,California,0.0081
8,CO,Colorado,0.0061
9,CT,Connecticut,0.0198
10,DE,Delaware,0.0055
11,DC,District of Columbia,0.0057
12,FL,Florida,0.0106
13,GA,Georgia,0.0095
15,HI,Hawaii,0.0028
16,ID,Idaho,0.0075
17,IL,Illinois,0.0232
18,IN,Indiana,0.0086
19,IA,Iowa,0.0149
20,KS,Kansas,0.0139
21,KY,Kentucky,0.0085
22,LA,Louisiana,0.0051
23,ME,Maine,0.0128
24,MD,Maryland,0.011
25,MA,Massachusetts,0.0121
26,MI,Michigan,0.0178
27,MN,Minnesota,0.0119
28,MS,Mississippi,0.008
29,MO,Missouri,0.0102
30,MT,Montana,0.0086
31,NE,Nebraska,0.0184
32,NV,Nevada,0.0086
33,NH,New Hampshire,0.0215
34,NJ,New Jersey,0.0238
35,NM,New Mexico,0.0073
36,NY,New York,0.0164
37,NC,North Carolina,0.0085
38,ND,North Dakota,0.0111
39,OH,Ohio,0.0155
40,OK,Oklahoma,0.0086
41,OR,Oregon,0.0109
42,PA,Pennsylvania,0.0154
44,RI,Rhode Island,0.0167
45,SC,South Carolina,0.0057
46,SD,South Dakota,0.0132
47,TN,Tennessee,0.0075
48,TX,Texas,0.019
49,UT,Utah,0.0068
50,VT,Vermont,0.0171
51,VA,Virginia,0.0078
53,WA,Washington,0.0109
54,WV,West Virginia,0.0059
55,WI,Wisconsin,0.0196
56,WY,Wyoming,0.0061
