id,stateAbbr,stateName,debtPerCapita
0,US,United States,9408
1,AL,Alabama,6127
2,AK,Alaska,13066
4,AZ,Arizona,7537
5,AR,Arkansas,4742
6,CA,California,11094
8,CO,Colorado,9972
9,CT,Connecticut,11928
10,DE,Delaware,9023
11,DC,District of Columbia,18521
12,FL,Florida,7651
13,GA,Georgia,5656
15,HI,Hawaii,10137
16,ID,Idaho,3930
17,IL,Illinois,11369
18,IN,Indiana,7593
19,IA,Iowa,5920
20,KS,Kansas,9274
21,KY,Kentucky,9716
22,LA,Louisiana,7834
23,ME,Maine,6504
24,MD,Maryland,7865
25,MA,Massachusetts,14517
26,MI,Michigan,7729
27,MN,Minnesota,9033
28,MS,Mississippi,4891
29,MO,Missouri,7692
30,MT,Montana,5746
31,NE,Nebraska,8170
32,NV,Nevada,10617
33,NH,New Hampshire,8159
34,NJ,New Jersey,11623
35,NM,New Mexico,7933
36,NY,New York,17405
37,NC,North Carolina,5235
38,ND,North Dakota,6845
39,OH,Ohio,7033
40,OK,Oklahoma,4944
41,OR,Oregon,8902
42,PA,Pennsylvania,10149
44,RI,Rhode Island,11362
45,SC,South Carolina,8597
46,SD,South Dakota,7066
47,TN,Tennessee,5764
48,TX,Texas,10473
49,UT,Utah,6957
50,VT,Vermont,7306
51,VA,Virginia,8020
53,WA,Washington,11022
54,WV,West Virginia,5886
55,WI,Wisconsin,7627
56,WY,Wyoming,4191
