id,stateAbbr,stateName,rank,corporateTaxRank,incomeTaxRank,salesTaxRank,unemploymentInsuranceTaxRank,propertyTaxRank
1,AL,Alabama,28,27,23,41,25,10
2,AK,Alaska,4,30,1,5,24,32
4,AZ,Arizona,23,24,19,49,4,6
5,AR,Arkansas,39,40,28,44,39,19
6,CA,California,48,34,50,42,14,14
8,CO,Colorado,20,12,16,43,35,22
9,CT,Connecticut,42,32,34,31,20,49
10,DE,Delaware,14,50,33,1,2,13
11,DC,District of Columbia,(45),(38),(35),(42),(27),(44)
12,FL,Florida,5,14,1,12,3,16
13,GA,Georgia,36,8,42,17,36,30
15,HI,Hawaii,30,9,37,15,28,12
16,ID,Idaho,19,21,24,22,46,3
17,IL,Illinois,31,47,11,34,38,44
18,IN,Indiana,8,22,10,10,7,5
19,IA,Iowa,41,49,32,23,33,38
20,KS,Kansas,22,38,18,30,9,28
21,KY,Kentucky,26,29,30,11,45,17
22,LA,Louisiana,35,23,27,50,6,24
23,ME,Maine,33,45,22,9,42,40
24,MD,Maryland,40,16,45,8,21,41
25,MA,Massachusetts,24,37,13,21,48,45
26,MI,Michigan,13,10,14,7,47,27
27,MN,Minnesota,47,44,46,37,29,34
28,MS,Mississippi,18,11,21,28,8,33
29,MO,Missouri,17,4,29,29,12,7
30,MT,Montana,6,18,20,3,18,8
31,NE,Nebraska,29,31,25,27,13,39
32,NV,Nevada,3,1,1,39,43,9
33,NH,New Hampshire,7,48,9,2,44,43
34,NJ,New Jersey,50,41,48,48,32,50
35,NM,New Mexico,38,35,35,45,10,1
36,NY,New York,49,20,49,40,31,46
37,NC,North Carolina,16,25,15,33,11,29
38,ND,North Dakota,25,19,36,20,16,2
39,OH,Ohio,44,26,47,32,5,20
40,OK,Oklahoma,32,7,40,38,1,11
41,OR,Oregon,12,36,31,4,30,15
42,PA,Pennsylvania,34,46,17,24,50,42
44,RI,Rhode Island,45,43,38,26,49,47
45,SC,South Carolina,37,13,41,18,40,21
46,SD,South Dakota,2,1,1,35,41,18
47,TN,Tennessee,15,15,8,47,26,37
48,TX,Texas,10,39,6,36,15,36
49,UT,Utah,9,5,12,19,22,4
50,VT,Vermont,46,42,44,16,17,48
51,VA,Virginia,27,6,39,6,37,26
53,WA,Washington,11,28,6,46,19,23
54,WV,West Virginia,21,17,26,25,23,25
55,WI,Wisconsin,43,33,43,14,27,31
56,WY,Wyoming,1,1,1,13,34,35
