id,stateAbbr,stateName,averageCellTaxRate
0,US,United States,0.1012
1,AL,Alabama,0.0928
2,AK,Alaska,0.1177
4,AZ,Arizona,0.1196
5,AR,Arkansas,0.1343
6,CA,California,0.1021
8,CO,Colorado,0.107
9,CT,Connecticut,0.0778
10,DE,Delaware,0.0623
11,DC,District of Columbia,0.1156
12,FL,Florida,0.1655
13,GA,Georgia,0.0881
15,HI,Hawaii,0.0632
16,ID,Idaho,0.0262
17,IL,Illinois,0.1581
18,IN,Indiana,0.1071
19,IA,Iowa,0.0861
20,KS,Kansas,0.1287
21,KY,Kentucky,0.1048
22,LA,Louisiana,0.0735
23,ME,Maine,0.0731
24,MD,Maryland,0.1237
25,MA,Massachusetts,0.0779
26,MI,Michigan,0.0808
27,MN,Minnesota,0.0942
28,MS,Mississippi,0.0905
29,MO,Missouri,0.1458
30,MT,Montana,0.06
31,NE,Nebraska,0.1848
32,NV,Nevada,0.0186
33,NH,New Hampshire,0.0817
34,NJ,New Jersey,0.0884
35,NM,New Mexico,0.1102
36,NY,New York,0.1774
37,NC,North Carolina,0.0846
38,ND,North Dakota,0.1138
39,OH,Ohio,0.0845
40,OK,Oklahoma,0.0987
41,OR,Oregon,0.0176
42,PA,Pennsylvania,0.1405
44,RI,Rhode Island,0.1458
45,SC,South Carolina,0.1054
46,SD,South Dakota,0.1302
47,TN,Tennessee,0.1155
48,TX,Texas,0.1173
49,UT,Utah,0.1253
50,VT,Vermont,0.085
51,VA,Virginia,0.0654
53,WA,Washington,0.186
54,WV,West Virginia,0.0615
55,WI,Wisconsin,0.071
56,WY,Wyoming,0.0771
