country,maxCorprateRate,lossCarryback,lossCarryforward,pdvMachines,pdvBuildings,pdvIntangibles,inventory,patentBox,rndCredit,corptime,profitPayments,otherPayments,vatRate,threshold,base,deductionLimitations,consumptionTime,propertyTaxes,propertyTaxesCollections,netWealth,estateOrInheritanceTax,transferTaxes,assetTaxes,capitalDuties,financialTrans,capGainsRate,capGainsIndex,divRate,incRate,progressivity,taxWedge,laborPayments,laborTime,dividendExempt,capGainsExemption,divWithhold,intWithhold,royWithhold,taxTreaties,cfcRules,countryLimitations,thinCap
Greece,0.26,0,5,0.9368777,0.6823317,0.7378887,1,0,1,78,1,6,0.23,14133,0.39,1,69,1,0.1,0,1,1,1,1,1,0.15,0,0.1,0.46,5.5,0.415602643,1,46,1,0,0.25,0.15,0.2,50,1,1,1
Hungary,0.19,0,50,0.8256077,0.2789584,0.8698652,0.5,0,1,35,2,8,0.27,38494,0.63,1,96,1,0.45,0,1,1,0,0,1,0.16,0,0.16,0.16,0,0.490272374,2,146,1,1,0,0,0,71,1,0,1
Iceland ,0.2,0,10,0.86,0.4777777,0.8085262,0,0,1,40,1,12,0.255,7263,0.47,0,40,1,1.684,1,1,0,1,0,0,0.2,0,0.2,0.443712,1.5,0.334474729,13,60,1,1,0.18,0.1,0.2,30,1,1,0
Ireland,0.125,0,100,0.7870752,0.4793186,0.7378887,0.5,1,1,10,1,7,0.23,89579,0.46,1,30,0.5,0.877,0,1,1,0,0,0,0.33,0,0.48,0.48,1,0.265960391,1,40,0,0,0.2,0.2,0.2,69,0,1,0
Israel,0.265,0,100,0.8698652,0.5479539,0.7870752,0.5,0,1,110,2,19,0.18,19042,0.68,0,65,1,2.333,0,0,1,0,0,0,0.25,1,0.3,0.5,6.2,0.206579121,12,60,0,0,0.3,0.25,0.25,50,1,1,0
Italy,0.275,0,50,0.7602526,0.4626575,0.9651163,1,0,1,39,2,12,0.22,37575,0.37,1,32,1,1.512,1,1,1,0,1,1,0.2,0,0.2,0.472611,10.1,0.477796597,1,198,0.95,1,0.2,0.2,0.3,89,1,1,0
Japan,0.3699,1,10,0.7696022,0.2789584,0.7870752,1,0,1,155,2,10,0.08,93566,0.67,0,35,1,2.066,0,1,1,0,1,0,0.2,0,0.20315,0.505858001,4.6,0.316437433,2,140,0.95,0,0.2,0.2,0.2,60,1,0,1
Korea,0.242,0.5,10,0.9217205,0.5479539,0.7378887,1,0,1,82,1,7,0.1,29170,0.67,1,25,1,0.811,0,1,1,0,1,1,0,1,0.35398,0.381266616,8.7,0.214133548,2,80,0,0,0.2,0.2,0.2,80,1,1,1
Luxembourg,0.2922,0,100,0.8708696,0.4793186,0.8698652,1,1,1,19,5,6,0.15,10719,0.92,1,22,1,0.068,0,1,1,1,0,0,0,1,0.2,0.436,3.1,0.370085368,12,14,1,1,0.15,0,0,64,0,1,0
Mexico,0.3,0,10,0.7378887,0.5479539,0.7378887,1,0,1,170,1,3,0.16,0,0.31,0,100,0.5,0.2,0,0,1,0,0,0,0.1,1,0.171428571,0.35,4,0.192176862,2,64,0,0,0.1,0.4,0.4,51,1,0,1
Netherlands,0.25,1,9,0.9651163,0.3384747,0.7378887,1,1,1,25,1,7,0.21,1616,0.55,1,34,0.5,0.711,1,1,1,0,0,0,0,1,0.25,0.498850195,1.2,0.369419877,1,64,1,1,0.15,0,0,86,0,0,1
New Zealand,0.28,0,100,0.7319149,0.3071429,0.7378887,0.5,0,1,34,1,5,0.15,39388,0.99,0,59,0,2.07,0,0,0,0,0,0,0,1,0.069444444,0.33,1.3,0.16888079,2,59,1,1,0.3,0.15,0.15,37,1,0,1
Norway,0.27,1,100,0.7818182,0.373913,0.7378887,0,0,1,24,1,2,0.25,5196,0.54,1,44,1,0.339,1,0,0,1,0,0,0.27,0,0.27,0.4,1.6,0.373352661,1,15,0.97,1,0.25,0,0,82,1,1,1
