id,stateAbbr,stateName,taxFreedomDay
0,US,United States,4/24/2014
1,AL,Alabama,4/9/2015
2,AK,Alaska,4/15/2015
4,AZ,Arizona,4/15/2015
5,AR,Arkansas,4/14/2015
6,CA,California,5/3/2015
8,CO,Colorado,4/25/2015
9,CT,Connecticut,5/13/2015
10,DE,Delaware,4/20/2015
11,DC,District of Columbia,4/23/2015
12,FL,Florida,4/20/2015
13,GA,Georgia,4/15/2015
15,HI,Hawaii,4/19/2015
16,ID,Idaho,4/14/2015
17,IL,Illinois,4/30/2015
18,IN,Indiana,4/18/2015
19,IA,Iowa,4/16/2015
20,KS,Kansas,4/21/2015
21,KY,Kentucky,4/11/2015
22,LA,Louisiana,4/2/2015
23,ME,Maine,4/14/2015
24,MD,Maryland,5/5/2015
25,MA,Massachusetts,5/2/2015
26,MI,Michigan,4/20/2015
27,MN,Minnesota,4/30/2015
28,MS,Mississippi,4/4/2015
29,MO,Missouri,4/14/2015
30,MT,Montana,4/17/2015
31,NE,Nebraska,4/17/2015
32,NV,Nevada,4/20/2015
33,NH,New Hampshire,4/23/2015
34,NJ,New Jersey,5/13/2015
35,NM,New Mexico,4/11/2015
36,NY,New York,5/8/2015
37,NC,North Carolina,4/16/2015
38,ND,North Dakota,4/29/2015
39,OH,Ohio,4/17/2015
40,OK,Oklahoma,4/14/2015
41,OR,Oregon,4/22/2015
42,PA,Pennsylvania,4/25/2015
44,RI,Rhode Island,4/26/2015
45,SC,South Carolina,4/12/2015
46,SD,South Dakota,4/8/2015
47,TN,Tennessee,4/9/2015
48,TX,Texas,4/17/2015
49,UT,Utah,4/20/2015
50,VT,Vermont,4/22/2015
51,VA,Virginia,4/27/2015
53,WA,Washington,4/29/2015
54,WV,West Virginia,4/13/2015
55,WI,Wisconsin,4/25/2015
56,WY,Wyoming,4/22/2015
