id,stateAbbr,stateName,federalAidPercentage
0,US,United States,0.3003
1,AL,Alabama,0.3615
2,AK,Alaska,0.2237
4,AZ,Arizona,0.3485
5,AR,Arkansas,0.3287
6,CA,California,0.2496
8,CO,Colorado,0.2779
9,CT,Connecticut,0.2338
10,DE,Delaware,0.2475
12,FL,Florida,0.3146
13,GA,Georgia,0.3731
15,HI,Hawaii,0.2149
16,ID,Idaho,0.3437
17,IL,Illinois,0.2589
18,IN,Indiana,0.3341
19,IA,Iowa,0.3192
20,KS,Kansas,0.2485
21,KY,Kentucky,0.351
22,LA,Louisiana,0.4194
23,ME,Maine,0.353
24,MD,Maryland,0.2862
25,MA,Massachusetts,0.2866
26,MI,Michigan,0.3281
27,MN,Minnesota,0.2638
28,MS,Mississippi,0.4289
29,MO,Missouri,0.3821
30,MT,Montana,0.3742
31,NE,Nebraska,0.3213
32,NV,Nevada,0.2495
33,NH,New Hampshire,0.2707
34,NJ,New Jersey,0.2554
35,NM,New Mexico,0.3657
36,NY,New York,0.2801
37,NC,North Carolina,0.3252
38,ND,North Dakota,0.1897
39,OH,Ohio,0.3361
40,OK,Oklahoma,0.3379
41,OR,Oregon,0.3498
42,PA,Pennsylvania,0.3042
44,RI,Rhode Island,0.3363
45,SC,South Carolina,0.3023
46,SD,South Dakota,0.3903
47,TN,Tennessee,0.3949
48,TX,Texas,0.3262
49,UT,Utah,0.2903
50,VT,Vermont,0.3318
51,VA,Virginia,0.2288
53,WA,Washington,0.273
54,WV,West Virginia,0.3414
55,WI,Wisconsin,0.2773
56,WY,Wyoming,0.3518
