id,stateAbbr,stateName,collectionsPerCapita
0,US,United States,2677
1,AL,Alabama,1924
2,AK,Alaska,4601
4,AZ,Arizona,1973
5,AR,Arkansas,3021
6,CA,California,3594
8,CO,Colorado,2230
9,CT,Connecticut,4501
10,DE,Delaware,3432
12,FL,Florida,1806
13,GA,Georgia,1864
15,HI,Hawaii,4283
16,ID,Idaho,2277
17,IL,Illinois,3040
18,IN,Indiana,2564
19,IA,Iowa,2675
20,KS,Kansas,2534
21,KY,Kentucky,2524
22,LA,Louisiana,2095
23,ME,Maine,2895
24,MD,Maryland,3189
25,MA,Massachusetts,3762
26,MI,Michigan,2505
27,MN,Minnesota,4267
28,MS,Mississippi,2532
29,MO,Missouri,1860
30,MT,Montana,2618
31,NE,Nebraska,2609
32,NV,Nevada,2560
33,NH,New Hampshire,1726
34,NJ,New Jersey,3332
35,NM,New Mexico,2759
36,NY,New York,3909
37,NC,North Carolina,2376
38,ND,North Dakota,8458
39,OH,Ohio,2335
40,OK,Oklahoma,2362
41,OR,Oregon,2465
42,PA,Pennsylvania,2675
44,RI,Rhode Island,2817
45,SC,South Carolina,1873
46,SD,South Dakota,1903
47,TN,Tennessee,1817
48,TX,Texas,2085
49,UT,Utah,2174
50,VT,Vermont,4724
51,VA,Virginia,2292
53,WA,Washington,2789
54,WV,West Virginia,2903
55,WI,Wisconsin,2857
56,WY,Wyoming,3881
