id,stateAbbr,stateName,2013,2014
0,US,United States,2.65,2.65
1,AL,Alabama,2.59,2.57
2,AK,Alaska,2.88,2.84
4,AZ,Arizona,2.7,2.71
5,AR,Arkansas,2.56,2.55
6,CA,California,2.97,2.98
8,CO,Colorado,2.57,2.57
9,CT,Connecticut,2.6,2.57
10,DE,Delaware,2.66,2.6
11,DC,District of Columbia,2.23,2.23
12,FL,Florida,2.65,2.66
13,GA,Georgia,2.74,2.74
15,HI,Hawaii,3.02,3.05
16,ID,Idaho,2.69,2.71
17,IL,Illinois,2.63,2.64
18,IN,Indiana,2.55,2.56
19,IA,Iowa,2.42,2.42
20,KS,Kansas,2.53,2.55
21,KY,Kentucky,2.5,2.5
22,LA,Louisiana,2.6,2.63
23,ME,Maine,2.36,2.35
24,MD,Maryland,2.68,2.7
25,MA,Massachusetts,2.54,2.55
26,MI,Michigan,2.52,2.53
27,MN,Minnesota,2.49,2.5
28,MS,Mississippi,2.66,2.64
29,MO,Missouri,2.48,2.5
30,MT,Montana,2.43,2.42
31,NE,Nebraska,2.49,2.47
32,NV,Nevada,2.75,2.74
33,NH,New Hampshire,2.47,2.47
34,NJ,New Jersey,2.74,2.74
35,NM,New Mexico,2.71,2.68
36,NY,New York,2.64,2.63
37,NC,North Carolina,2.55,2.56
38,ND,North Dakota,2.33,2.33
39,OH,Ohio,2.47,2.46
40,OK,Oklahoma,2.58,2.58
41,OR,Oregon,2.52,2.53
42,PA,Pennsylvania,2.5,2.5
44,RI,Rhode Island,2.49,2.47
45,SC,South Carolina,2.58,2.57
46,SD,South Dakota,2.45,2.45
47,TN,Tennessee,2.55,2.55
48,TX,Texas,2.84,2.84
49,UT,Utah,3.17,3.16
50,VT,Vermont,2.37,2.34
51,VA,Virginia,2.62,2.62
53,WA,Washington,2.58,2.58
54,WV,West Virginia,2.44,2.45
55,WI,Wisconsin,2.44,2.43
56,WY,Wyoming,2.54,2.45
