id,stateAbbr,stateName,rank,corporateTaxRank,incomeTaxRank,salesTaxRank,unemploymentInsuranceTaxRank,propertyTaxRank
1,AL,Alabama,21,19,22,37,15,10
2,AK,Alaska,4,28,1,5,29,25
4,AZ,Arizona,22,26,18,49,1,6
5,AR,Arkansas,35,39,26,42,11,19
6,CA,California,48,31,50,41,16,14
8,CO,Colorado,19,21,15,44,28,22
9,CT,Connecticut,42,35,33,32,23,49
10,DE,Delaware,13,50,28,2,2,13
12,FL,Florida,5,13,1,18,6,16
13,GA,Georgia,32,8,41,12,24,31
15,HI,Hawaii,30,4,35,16,38,12
16,ID,Idaho,18,18,23,23,47,3
17,IL,Illinois,31,47,11,33,43,44
18,IN,Indiana,10,24,10,11,13,5
19,IA,Iowa,40,49,32,24,36,38
20,KS,Kansas,20,37,17,31,12,29
21,KY,Kentucky,27,27,29,10,48,17
22,LA,Louisiana,33,17,25,50,4,24
23,ME,Maine,29,45,21,9,33,40
24,MD,Maryland,41,15,46,8,40,41
25,MA,Massachusetts,25,34,13,17,49,47
26,MI,Michigan,14,9,14,7,44,28
27,MN,Minnesota,47,44,47,35,41,33
28,MS,Mississippi,17,11,20,28,5,32
29,MO,Missouri,16,7,27,26,9,7
30,MT,Montana,7,16,19,3,21,8
31,NE,Nebraska,34,36,30,29,8,39
32,NV,Nevada,3,1,1,40,42,9
33,NH,New Hampshire,8,48,9,1,46,42
34,NJ,New Jersey,49,41,48,46,32,50
35,NM,New Mexico,38,40,34,45,17,1
36,NY,New York,50,25,49,38,45,45
37,NC,North Carolina,44,29,42,47,7,30
38,ND,North Dakota,28,22,38,21,19,2
39,OH,Ohio,39,23,44,30,10,20
40,OK,Oklahoma,36,12,39,39,3,11
41,OR,Oregon,12,32,31,4,34,15
42,PA,Pennsylvania,24,46,16,19,39,43
44,RI,Rhode Island,46,43,36,27,50,46
45,SC,South Carolina,37,10,40,22,30,21
46,SD,South Dakota,2,1,1,34,37,18
47,TN,Tennessee,15,14,8,43,27,37
48,TX,Texas,11,38,7,36,14,35
49,UT,Utah,9,5,12,20,18,4
50,VT,Vermont,45,42,45,13,22,48
51,VA,Virginia,26,6,37,6,35,26
53,WA,Washington,6,30,1,48,20,23
54,WV,West Virginia,23,20,24,25,26,27
55,WI,Wisconsin,43,33,43,15,25,36
56,WY,Wyoming,1,1,1,14,31,34
11,DC,District of Columbia,44,35,34,41,26,44
