id,stateAbbr,stateName,collectionsPerCapita,rank
0,US,United States,6347.73869978919,
1,AL,Alabama,5211.13931749769,40
2,AK,Alaska,17329.30386270030,1
4,AZ,Arizona,4812.44994904149,49
5,AR,Arkansas,5057.02492198019,45
6,CA,California,7150.89892081461,10
8,CO,Colorado,6701.27363382600,14
9,CT,Connecticut,7744.94638180300,6
10,DE,Delaware,7705.04231009408,7
12,FL,Florida,5634.38313979806,33
13,GA,Georgia,4870.23070579266,48
15,HI,Hawaii,7097.28803534710,11
16,ID,Idaho,4927.84150275414,47
17,IL,Illinois,6191.26457755541,22
18,IN,Indiana,5498.87872784452,35
19,IA,Iowa,6555.66760401399,16
20,KS,Kansas,6416.13880276610,18
21,KY,Kentucky,5101.46670631410,43
22,LA,Louisiana,5904.24756694646,26
23,ME,Maine,6083.98010789386,24
24,MD,Maryland,6650.05499859386,15
25,MA,Massachusetts,7498.61285978973,8
26,MI,Michigan,5705.28261678078,32
27,MN,Minnesota,7171.23136007422,9
28,MS,Mississippi,5195.75710061928,41
29,MO,Missouri,4962.13418390687,46
30,MT,Montana,5302.90856677875,39
31,NE,Nebraska,6342.77941028288,20
32,NV,Nevada,5350.89880021078,37
33,NH,New Hampshire,5822.57453551705,29
34,NJ,New Jersey,7891.02174540759,5
35,NM,New Mexico,5818.18686449258,30
36,NY,New York,9813.81156168843,3
37,NC,North Carolina,5520.31288041411,34
38,ND,North Dakota,9488.10502220950,4
39,OH,Ohio,5862.12275009936,27
40,OK,Oklahoma,5185.03879755741,42
41,OR,Oregon,5975.61260768752,25
42,PA,Pennsylvania,6248.29064771535,21
44,RI,Rhode Island,6885.89365389141,13
45,SC,South Carolina,5716.76311444302,31
46,SD,South Dakota,5058.65780063129,44
47,TN,Tennessee,4646.21658359764,50
48,TX,Texas,5315.76124216825,38
49,UT,Utah,5392.03748497166,36
50,VT,Vermont,6942.52651480070,12
51,VA,Virginia,6097.63669512407,23
53,WA,Washington,6428.11495003687,17
54,WV,West Virginia,5847.52085980662,28
55,WI,Wisconsin,6356.82683894657,19
56,WY,Wyoming,11002.92032591010,2
11,DC,District of Columbia,10878.09648458470,3
