id,stateAbbr,stateName,collectionsPerCapita,rank
0,US,United States,4439,
1,AL,Alabama,2956,50
2,AK,Alaska,11926,1
4,AZ,Arizona,3409,41
5,AR,Arkansas,3530,37
6,CA,California,4854,14
8,CO,Colorado,4111,23
9,CT,Connecticut,6953,4
10,DE,Delaware,4598,17
12,FL,Florida,3365,44
13,GA,Georgia,3276,45
15,HI,Hawaii,5357,8
16,ID,Idaho,3054,48
17,IL,Illinois,5168,10
18,IN,Indiana,3756,31
19,IA,Iowa,4419,19
20,KS,Kansas,4347,21
21,KY,Kentucky,3437,40
22,LA,Louisiana,3695,32
23,ME,Maine,4621,16
24,MD,Maryland,5152,11
25,MA,Massachusetts,5591,7
26,MI,Michigan,3668,33
27,MN,Minnesota,5241,9
28,MS,Mississippi,3257,46
29,MO,Missouri,3392,42
30,MT,Montana,3616,35
31,NE,Nebraska,4395,20
32,NV,Nevada,3881,27
33,NH,New Hampshire,3994,26
34,NJ,New Jersey,6083,6
35,NM,New Mexico,3630,34
36,NY,New York,7765,3
37,NC,North Carolina,3552,36
38,ND,North Dakota,9561,2
39,OH,Ohio,4054,25
40,OK,Oklahoma,3494,38
41,OR,Oregon,3805,29
42,PA,Pennsylvania,4472,18
44,RI,Rhode Island,4978,13
45,SC,South Carolina,3036,49
46,SD,South Dakota,3493,39
47,TN,Tennessee,3109,47
48,TX,Texas,3781,30
49,UT,Utah,3371,43
50,VT,Vermont,5135,12
51,VA,Virginia,4073,24
53,WA,Washington,4292,22
54,WV,West Virginia,3805,28
55,WI,Wisconsin,4635,15
56,WY,Wyoming,6724,5
11,DC,District of Columbia,9471,3
