id,stateAbbr,stateName,heirType,estateValueAtLeast,estateValueLessThan,minimumTax,estateTaxRate,decedentResidency
19,IA,Iowa,charity,0,,0,0,
19,IA,Iowa,childInLaw,0,12500,0,0.05,
19,IA,Iowa,childInLaw,12500,25000,625,0.06,
19,IA,Iowa,childInLaw,25000,75000,1375,0.07,
19,IA,Iowa,childInLaw,75000,100000,4875,0.08,
19,IA,Iowa,childInLaw,100000,150000,6875,0.09,
19,IA,Iowa,childInLaw,150000,,11375,0.1,
19,IA,Iowa,corporation,0,,0,0.15,
19,IA,Iowa,foreignCharity,0,500,0,0,
19,IA,Iowa,foreignCharity,500,,0,0.1,
19,IA,Iowa,linealAscendent,0,,0,0,
19,IA,Iowa,linealDescendent,0,,0,0,
19,IA,Iowa,remoteRelative,0,50000,0,0.1,
19,IA,Iowa,remoteRelative,50000,100000,5000,0.12,
19,IA,Iowa,remoteRelative,100000,,11000,0.15,
19,IA,Iowa,sibling,0,12500,0,0.05,
19,IA,Iowa,sibling,12500,25000,625,0.06,
19,IA,Iowa,sibling,25000,75000,1375,0.07,
19,IA,Iowa,sibling,75000,100000,4875,0.08,
19,IA,Iowa,sibling,100000,150000,6875,0.09,
19,IA,Iowa,sibling,150000,,11375,0.1,
19,IA,Iowa,spouse,0,,0,0,
19,IA,Iowa,unknownHeirs,0,,0,0.05,
21,KY,Kentucky,charity,0,,0,0,
21,KY,Kentucky,linealAscendent,0,,0,0,
21,KY,Kentucky,linealDescendent,0,,0,0,
21,KY,Kentucky,nonRelatives,0,500,0,0,resident
21,KY,Kentucky,nonRelatives,500,1000,0,0.06,resident
21,KY,Kentucky,nonRelatives,1000,10000,30,0.06,resident
21,KY,Kentucky,nonRelatives,10000,20000,570,0.08,resident
21,KY,Kentucky,nonRelatives,20000,30000,1370,0.1,resident
21,KY,Kentucky,nonRelatives,30000,45000,2370,0.12,resident
21,KY,Kentucky,nonRelatives,45000,60000,4170,0.15,resident
21,KY,Kentucky,nonRelatives,60000,100000,6270,0.16,resident
21,KY,Kentucky,nonRelatives,100000,200000,12670,0.16,resident
21,KY,Kentucky,nonRelatives,200000,,28670,0.16,resident
21,KY,Kentucky,nonRelatives,0,500,0,0,nonresident
21,KY,Kentucky,nonRelatives,500,10000,0,0.06,nonresident
21,KY,Kentucky,nonRelatives,10000,20000,0,0.08,nonresident
21,KY,Kentucky,nonRelatives,20000,30000,0,0.1,nonresident
21,KY,Kentucky,nonRelatives,30000,45000,0,0.12,nonresident
21,KY,Kentucky,nonRelatives,45000,60000,0,0.14,nonresident
21,KY,Kentucky,nonRelatives,60000,,0,0.16,nonresident
21,KY,Kentucky,remoteRelative,0,1000,0,0,resident
21,KY,Kentucky,remoteRelative,1000,10000,0,0.04,resident
21,KY,Kentucky,remoteRelative,10000,20000,360,0.05,resident
21,KY,Kentucky,remoteRelative,20000,30000,860,0.06,resident
21,KY,Kentucky,remoteRelative,30000,45000,1460,0.08,resident
21,KY,Kentucky,remoteRelative,45000,60000,2660,0.1,resident
21,KY,Kentucky,remoteRelative,60000,100000,4160,0.12,resident
21,KY,Kentucky,remoteRelative,100000,200000,8960,0.14,resident
21,KY,Kentucky,remoteRelative,200000,,22960,0.16,resident
21,KY,Kentucky,remoteRelative,0,1000,0,0,nonresident
21,KY,Kentucky,remoteRelative,1000,10000,0,0.04,nonresident
21,KY,Kentucky,remoteRelative,10000,20000,0,0.05,nonresident
21,KY,Kentucky,remoteRelative,20000,30000,0,0.06,nonresident
21,KY,Kentucky,remoteRelative,30000,45000,0,0.08,nonresident
21,KY,Kentucky,remoteRelative,45000,60000,0,0.1,nonresident
21,KY,Kentucky,remoteRelative,60000,100000,0,0.12,nonresident
21,KY,Kentucky,remoteRelative,100000,200000,0,0.14,nonresident
21,KY,Kentucky,remoteRelative,200000,,0,0.16,nonresident
21,KY,Kentucky,sibling,0,,0,0,
21,KY,Kentucky,spouse,0,,0,0,
31,NE,Nebraska,linealAscendent,40000,,0,0.1,
31,NE,Nebraska,linealDescendent,40000,,0,0.1,
31,NE,Nebraska,nonRelatives,0,500,0,0,
31,NE,Nebraska,nonRelatives,500,5000,0,0.06,
31,NE,Nebraska,nonRelatives,5000,10000,0,0.09,
31,NE,Nebraska,nonRelatives,10000,20000,0,0.12,
31,NE,Nebraska,nonRelatives,20000,50000,0,0.15,
31,NE,Nebraska,nonRelatives,50000,,0,0.18,
31,NE,Nebraska,remoteRelatives,15000,,0,0.13,
31,NE,Nebraska,sibling,40000,,0,0.1,
31,NE,Nebraska,spouse,40000,,0,0.1,
