year,targetState,sourceState,taxReturnInflows,taxExemptionsInflows,adjustedGrossIncomeInflows
2011,1,1,1591968,3593492,80792924000
2010,1,1,1604990,3609606,79341033000
2009,1,1,1632467,3629748,83764352000
2008,1,1,1612276,3579529,83887827000
2007,1,1,1532800,3443705,78152182000
2006,1,1,1507515,3400241,73090981000
2005,1,1,1501675,3401484,69502997000
2004,1,1,1497828,3396876,65594902000
2003,1,1,1499461,3389383,63437492000
2002,1,1,1506891,3390671,63342589000
2001,1,1,1505759,3392308,63339805000
2000,1,1,1497168,3378396,61416356000
1999,1,1,1478696,3342311,56633730000
1998,1,1,1460439,3322368,53439052000
1997,1,1,1447841,3315932,51607827000
1996,1,1,1424386,3271520,49296909000
1995,1,1,1404958,3249579,44866044000
1994,1,1,1390158,3261943,42611147000
1993,1,1,1374133,3232884,41638920000
2011,1,2,231,578,12028000
2010,1,2,209,528,9065000
2009,1,2,218,542,10688000
2008,1,2,186,476,10876000
2007,1,2,176,456,9207000
2006,1,2,170,404,6633000
2005,1,2,171,422,6919000
2004,1,2,155,368,6035000
2003,1,2,140,351,5490000
2002,1,2,154,388,5665000
2001,1,2,138,286,5626000
2000,1,2,165,433,6319000
1999,1,2,193,531,6957000
1998,1,2,163,410,5321000
1997,1,2,164,404,5169000
1996,1,2,165,407,5774000
1995,1,2,244,655,8003000
1994,1,2,229,637,7032000
1993,1,2,236,642,7453000
2011,1,4,534,1248,25581000
2010,1,4,465,1005,22913000
2009,1,4,496,1089,24243000
2008,1,4,528,1077,23123000
2007,1,4,483,1019,24570000
2006,1,4,505,1182,25176000
2005,1,4,397,838,17049000
2004,1,4,438,945,18598000
2003,1,4,388,807,15488000
2002,1,4,390,811,15313000
2001,1,4,362,719,15171000
2000,1,4,349,731,13171000
1999,1,4,374,790,12675000
1998,1,4,349,750,11858000
1997,1,4,383,841,11656000
1996,1,4,384,845,12166000
1995,1,4,360,792,10257000
1994,1,4,344,810,9834000
1993,1,4,355,770,9584000
2011,1,5,553,1096,23216000
2010,1,5,431,926,18390000
2009,1,5,458,970,20048000
2008,1,5,456,986,17315000
2007,1,5,502,1100,21951000
2006,1,5,522,1137,20284000
2005,1,5,415,862,18986000
2004,1,5,545,1249,20321000
2003,1,5,485,1095,19415000
2002,1,5,472,1019,19444000
2001,1,5,495,1099,18513000
2000,1,5,495,1114,19489000
1999,1,5,481,1055,17736000
1998,1,5,492,1088,16069000
1997,1,5,477,1075,14192000
1996,1,5,457,985,14845000
1995,1,5,497,1108,13473000
1994,1,5,439,990,12717000
1993,1,5,501,1140,13489000
2011,1,6,1541,3192,64665000
2010,1,6,1510,3107,65910000
2009,1,6,1748,3581,80865000
2008,1,6,1726,3556,83006000
2007,1,6,1840,3920,83322000
2006,1,6,1851,3957,83527000
2005,1,6,1818,3928,77778000
2004,1,6,1573,3339,63102000
2003,1,6,1555,3178,61414000
2002,1,6,1447,2966,60047000
2001,1,6,1482,3179,59942000
2000,1,6,1556,3349,63393000
1999,1,6,1525,3226,55529000
1998,1,6,1547,3347,52885000
1997,1,6,1601,3464,49223000
1996,1,6,1853,4053,54231000
1995,1,6,2035,4387,59200000
1994,1,6,2148,4864,62241000
1993,1,6,2353,5310,71035000
2011,1,8,524,1125,25535000
2010,1,8,563,1251,24828000
2009,1,8,524,1213,28200000
2008,1,8,532,1115,28407000
2007,1,8,537,1238,27405000
2006,1,8,508,1121,23060000
2005,1,8,561,1291,25030000
2004,1,8,582,1301,25513000
2003,1,8,562,1198,22047000
2002,1,8,582,1215,23673000
2001,1,8,476,993,19627000
2000,1,8,477,1013,19607000
1999,1,8,494,1045,18656000
1998,1,8,502,1070,16474000
1997,1,8,547,1212,17831000
1996,1,8,559,1294,17356000
1995,1,8,521,1202,15155000
1994,1,8,529,1184,14533000
1993,1,8,502,1202,16229000
2011,1,9,179,362,8938000
2010,1,9,197,327,8873000
2009,1,9,201,368,10058000
2008,1,9,198,398,8911000
2007,1,9,193,358,9850000
2006,1,9,198,406,9658000
2005,1,9,200,393,9121000
2004,1,9,189,375,9387000
2003,1,9,199,392,12810000
2002,1,9,170,314,8384000
2001,1,9,159,292,9153000
2000,1,9,163,314,7305000
1999,1,9,189,378,7302000
1998,1,9,208,394,6674000
1997,1,9,202,387,7030000
1996,1,9,220,458,9954000
1995,1,9,226,435,9383000
1994,1,9,207,419,7815000
1993,1,9,208,459,6993000
2011,1,10,57,150,2640000
2010,1,10,59,113,2327000
2009,1,10,66,133,3425000
2008,1,10,65,128,2934000
2007,1,10,84,184,4646000
2006,1,10,69,148,3632000
2005,1,10,59,138,2879000
2004,1,10,57,123,2804000
2003,1,10,72,167,3106000
2002,1,10,58,133,2634000
2001,1,10,57,132,2291000
2000,1,10,63,160,2514000
1999,1,10,74,154,2871000
1998,1,10,66,136,2853000
1997,1,10,90,177,3516000
1996,1,10,75,159,2217000
1995,1,10,83,190,3095000
1994,1,10,62,145,1724000
1993,1,10,81,162,2433000
2011,1,11,58,79,3484000
2010,1,11,71,99,4168000
2009,1,11,59,90,3677000
2008,1,11,87,138,5384000
2007,1,11,79,120,3928000
2006,1,11,79,111,3577000
2005,1,11,68,124,2506000
2004,1,11,50,94,1837000
2003,1,11,57,87,2741000
2002,1,11,64,115,3745000
2001,1,11,55,91,2348000
2000,1,11,68,129,3400000
1999,1,11,68,126,2975000
1998,1,11,59,94,2075000
1997,1,11,67,109,1815000
1996,1,11,65,120,1848000
1995,1,11,68,120,2524000
1994,1,11,78,127,2372000
1993,1,11,73,128,2115000
2011,1,12,6115,12189,234780000
2010,1,12,6086,12305,240772000
2009,1,12,7075,13960,274399000
2008,1,12,7880,15773,305938000
2007,1,12,7396,15021,297835000
2006,1,12,7413,14920,298516000
2005,1,12,6242,12803,232515000
2004,1,12,5530,11104,211468000
2003,1,12,5489,11082,181627000
2002,1,12,5353,10848,185993000
2001,1,12,5324,10816,211904000
2000,1,12,5721,11540,180290000
1999,1,12,5891,12150,195414000
1998,1,12,6072,12621,186239000
1997,1,12,6170,12784,178244000
1996,1,12,6116,12814,167435000
1995,1,12,6307,13169,149724000
1994,1,12,5967,12612,136617000
1993,1,12,6440,13881,154216000
2011,1,13,8101,17114,284400000
2010,1,13,7269,15404,256014000
2009,1,13,7680,16153,288562000
2008,1,13,7933,16756,324991000
2007,1,13,7386,15791,303128000
2006,1,13,7367,15776,292739000
2005,1,13,7185,15340,284234000
2004,1,13,6635,13842,250117000
2003,1,13,6684,13838,243081000
2002,1,13,6677,13762,241132000
2001,1,13,6453,13341,238921000
2000,1,13,6749,14185,259199000
1999,1,13,6522,13736,237181000
1998,1,13,6693,14181,220959000
1997,1,13,7888,17218,220635000
1996,1,13,6771,14342,193249000
1995,1,13,6528,13908,172326000
1994,1,13,6394,13907,167540000
1993,1,13,6574,14353,166510000
2011,1,15,250,602,10234000
2010,1,15,249,617,10516000
2009,1,15,296,696,13894000
2008,1,15,243,608,10277000
2007,1,15,234,568,10412000
2006,1,15,284,759,11321000
2005,1,15,161,385,6971000
2004,1,15,224,556,9375000
2003,1,15,210,497,8398000
2002,1,15,222,556,8073000
2001,1,15,180,459,6793000
2000,1,15,197,526,7542000
1999,1,15,274,718,9671000
1998,1,15,221,550,7101000
1997,1,15,249,618,8020000
1996,1,15,271,648,8264000
1995,1,15,324,797,9326000
1994,1,15,284,721,7260000
1993,1,15,337,883,9368000
2011,1,16,93,237,4242000
2010,1,16,75,171,2635000
2009,1,16,73,172,2826000
2008,1,16,82,184,3541000
2007,1,16,80,184,3421000
2006,1,16,92,220,3658000
2005,1,16,74,175,2853000
2004,1,16,59,127,1993000
2003,1,16,59,129,2343000
2002,1,16,103,215,3186000
2001,1,16,72,181,3910000
2000,1,16,63,155,1993000
1999,1,16,57,121,1843000
1998,1,16,62,132,1801000
1997,1,16,57,135,1620000
1996,1,16,58,144,1527000
1995,1,16,64,156,1808000
1994,1,16,63,156,1583000
1993,1,16,63,154,1794000
2011,1,17,928,1846,39830000
2010,1,17,968,1942,39116000
2009,1,17,1048,2105,47937000
2008,1,17,1146,2252,46266000
2007,1,17,1017,2082,46589000
2006,1,17,1107,2329,50458000
2005,1,17,1062,2154,60181000
2004,1,17,1064,2265,41317000
2003,1,17,1053,2146,39795000
2002,1,17,991,1983,46241000
2001,1,17,1016,2113,40553000
2000,1,17,1162,2411,48006000
1999,1,17,1161,2447,47247000
1998,1,17,1524,3255,61747000
1997,1,17,1258,2713,45386000
1996,1,17,1207,2647,39441000
1995,1,17,1225,2631,37597000
1994,1,17,1282,2872,38612000
1993,1,17,1271,2793,37267000
2011,1,18,690,1446,29544000
2010,1,18,713,1406,27767000
2009,1,18,746,1525,31189000
2008,1,18,752,1564,76067000
2007,1,18,745,1571,33796000
2006,1,18,739,1580,33552000
2005,1,18,786,1646,32645000
2004,1,18,733,1534,30328000
2003,1,18,672,1420,25152000
2002,1,18,659,1321,21846000
2001,1,18,681,1345,26465000
2000,1,18,681,1341,25138000
1999,1,18,708,1471,25492000
1998,1,18,765,1723,25700000
1997,1,18,769,1626,23064000
1996,1,18,736,1585,21890000
1995,1,18,719,1523,19276000
1994,1,18,702,1595,17508000
1993,1,18,692,1491,17070000
2011,1,19,198,420,9652000
2010,1,19,202,420,10594000
2009,1,19,193,389,11707000
2008,1,19,190,385,8246000
2007,1,19,174,369,6912000
2006,1,19,167,353,6533000
2005,1,19,154,315,5953000
2004,1,19,165,330,6551000
2003,1,19,174,372,6639000
2002,1,19,152,331,6461000
2001,1,19,197,432,9046000
2000,1,19,162,350,7434000
1999,1,19,155,337,6275000
1998,1,19,174,392,7697000
1997,1,19,184,403,6320000
1996,1,19,164,328,4766000
1995,1,19,157,352,4440000
1994,1,19,171,375,5678000
1993,1,19,154,343,4814000
2011,1,20,357,794,13954000
2010,1,20,397,981,18616000
2009,1,20,347,766,15162000
2008,1,20,299,674,12935000
2007,1,20,292,690,14881000
2006,1,20,273,667,11142000
2005,1,20,310,743,12537000
2004,1,20,267,610,10479000
2003,1,20,299,711,12051000
2002,1,20,279,686,10220000
2001,1,20,280,690,11744000
2000,1,20,313,763,11481000
1999,1,20,306,740,11368000
1998,1,20,294,682,10048000
1997,1,20,285,669,9371000
1996,1,20,360,852,12201000
1995,1,20,394,986,11339000
1994,1,20,363,860,9423000
1993,1,20,389,1041,12517000
2011,1,21,846,1855,36271000
2010,1,21,848,1841,35217000
2009,1,21,791,1680,31950000
2008,1,21,800,1770,35838000
2007,1,21,821,1795,36031000
2006,1,21,782,1761,30492000
2005,1,21,833,1868,33528000
2004,1,21,743,1602,26579000
2003,1,21,770,1641,28650000
2002,1,21,743,1650,27354000
2001,1,21,745,1614,28402000
2000,1,21,756,1749,27158000
1999,1,21,753,1622,26889000
1998,1,21,799,1840,28548000
1997,1,21,807,1854,25089000
1996,1,21,739,1594,22450000
1995,1,21,761,1741,22833000
1994,1,21,839,1978,26672000
1993,1,21,775,1821,22712000
2011,1,22,1167,2480,52421000
2010,1,22,1136,2330,50084000
2009,1,22,1249,2606,61937000
2008,1,22,1395,2895,65347000
2007,1,22,1484,3211,70768000
2006,1,22,3559,7710,121454000
2005,1,22,1296,2744,49198000
2004,1,22,1214,2587,43723000
2003,1,22,1222,2488,44258000
2002,1,22,1282,2712,50430000
2001,1,22,1394,3060,58107000
2000,1,22,1574,3424,59680000
1999,1,22,1458,3178,56393000
1998,1,22,1446,3235,50471000
1997,1,22,1542,3383,53092000
1996,1,22,1526,3361,49691000
1995,1,22,1569,3404,47200000
1994,1,22,1639,3689,48786000
1993,1,22,1740,3956,54036000
2011,1,23,71,139,3145000
2010,1,23,97,189,4424000
2009,1,23,85,152,2921000
2008,1,23,104,194,4969000
2007,1,23,103,212,4603000
2006,1,23,81,158,3145000
2005,1,23,81,160,3294000
2004,1,23,72,156,3271000
2003,1,23,61,118,2697000
2002,1,23,69,149,2202000
2001,1,23,60,119,2175000
2000,1,23,64,142,2591000
1999,1,23,61,129,2002000
1998,1,23,73,178,2535000
1997,1,23,78,170,2456000
1996,1,23,74,140,2135000
1995,1,23,94,204,3036000
1994,1,23,105,210,2982000
1993,1,23,110,264,3354000
2011,1,24,457,953,23827000
2010,1,24,443,897,24626000
2009,1,24,579,1202,35009000
2008,1,24,524,1070,30756000
2007,1,24,563,1237,32977000
2006,1,24,535,1163,30808000
2005,1,24,512,1040,24722000
2004,1,24,486,964,23120000
2003,1,24,488,1024,25764000
2002,1,24,442,949,22338000
2001,1,24,425,919,20626000
2000,1,24,408,867,17638000
1999,1,24,417,887,17231000
1998,1,24,422,897,16554000
1997,1,24,498,1061,20149000
1996,1,24,472,985,17244000
1995,1,24,516,1114,18350000
1994,1,24,572,1279,19109000
1993,1,24,548,1240,19134000
2011,1,25,247,442,13891000
2010,1,25,253,448,10713000
2009,1,25,256,476,11950000
2008,1,25,295,576,15430000
2007,1,25,322,630,15504000
2006,1,25,313,633,14758000
2005,1,25,293,572,12065000
2004,1,25,286,535,14019000
2003,1,25,248,498,10872000
2002,1,25,244,459,10411000
2001,1,25,256,514,12259000
2000,1,25,233,446,10524000
1999,1,25,261,505,9948000
1998,1,25,228,478,8443000
1997,1,25,283,535,10342000
1996,1,25,287,578,9396000
1995,1,25,285,526,10062000
1994,1,25,292,613,9465000
1993,1,25,365,770,12257000
2011,1,26,999,2051,40917000
2010,1,26,1116,2295,41505000
2009,1,26,1233,2606,44363000
2008,1,26,1344,2744,51725000
2007,1,26,1225,2659,46659000
2006,1,26,1153,2513,45426000
2005,1,26,1149,2440,47165000
2004,1,26,979,2092,37191000
2003,1,26,930,1857,33941000
2002,1,26,917,1858,35122000
2001,1,26,887,1738,31924000
2000,1,26,915,1863,33598000
1999,1,26,879,1726,30395000
1998,1,26,998,2103,35083000
1997,1,26,1046,2202,35547000
1996,1,26,913,1860,24938000
1995,1,26,972,1980,24805000
1994,1,26,974,2051,23033000
1993,1,26,1032,2159,24026000
2011,1,27,207,405,8717000
2010,1,27,178,337,6354000
2009,1,27,239,449,9501000
2008,1,27,206,401,10035000
2007,1,27,184,361,8633000
2006,1,27,183,362,7427000
2005,1,27,198,390,9417000
2004,1,27,206,420,7184000
2003,1,27,176,362,6705000
2002,1,27,170,336,6417000
2001,1,27,163,308,5837000
2000,1,27,154,317,6851000
1999,1,27,164,353,6988000
1998,1,27,214,461,8164000
1997,1,27,198,403,10775000
1996,1,27,153,338,5840000
1995,1,27,182,337,6582000
1994,1,27,180,398,6196000
1993,1,27,170,337,4709000
2011,1,28,2653,5498,109556000
2010,1,28,2597,5504,99163000
2009,1,28,2991,6139,115773000
2008,1,28,3075,6351,126767000
2007,1,28,3123,6437,112555000
2006,1,28,3879,8141,145309000
2005,1,28,2727,5589,98458000
2004,1,28,2563,5188,84530000
2003,1,28,2579,5286,89744000
2002,1,28,2609,5247,89322000
2001,1,28,2656,5372,84068000
2000,1,28,2798,5742,89952000
1999,1,28,2771,5857,91439000
1998,1,28,2791,5796,84529000
1997,1,28,2637,5565,73652000
1996,1,28,2614,5499,74784000
1995,1,28,2607,5596,65592000
1994,1,28,2667,5758,67893000
1993,1,28,2610,5716,63472000
2011,1,29,613,1265,28323000
2010,1,29,619,1238,26936000
2009,1,29,653,1321,28602000
2008,1,29,679,1463,36745000
2007,1,29,609,1274,29450000
2006,1,29,626,1366,27390000
2005,1,29,608,1308,25696000
2004,1,29,570,1185,21785000
2003,1,29,563,1160,24998000
2002,1,29,560,1164,20533000
2001,1,29,576,1187,24917000
2000,1,29,589,1254,23434000
1999,1,29,632,1397,26021000
1998,1,29,1574,3641,88430000
1997,1,29,615,1339,22581000
1996,1,29,498,1122,16871000
1995,1,29,549,1170,14674000
1994,1,29,555,1237,19521000
1993,1,29,576,1330,17370000
2011,1,30,55,109,2210000
2010,1,30,66,147,2449000
2009,1,30,79,157,3101000
2008,1,30,66,133,2782000
2007,1,30,72,148,2846000
2006,1,30,68,152,2538000
2005,1,30,72,176,3440000
2004,1,30,82,167,2140000
2003,1,30,62,118,2351000
2002,1,30,66,135,1686000
2001,1,30,67,147,2301000
2000,1,30,67,143,2061000
1999,1,30,57,149,2020000
1998,1,30,67,153,1902000
1997,1,30,58,110,1443000
1996,1,30,67,144,1787000
1995,1,30,79,151,1852000
1994,1,30,69,149,2515000
1993,1,30,63,166,1674000
2011,1,31,142,313,6959000
2010,1,31,117,229,5161000
2009,1,31,148,321,9912000
2008,1,31,121,251,6016000
2007,1,31,130,299,5874000
2006,1,31,135,331,6437000
2005,1,31,147,360,6546000
2004,1,31,156,318,5886000
2003,1,31,144,330,7347000
2002,1,31,126,293,6134000
2001,1,31,125,267,4513000
2000,1,31,135,309,5414000
1999,1,31,127,278,4594000
1998,1,31,149,330,5122000
1997,1,31,140,321,5646000
1996,1,31,117,281,4444000
1995,1,31,166,403,5117000
1994,1,31,130,303,3880000
1993,1,31,172,450,5753000
2011,1,32,239,503,11341000
2010,1,32,225,466,9510000
2009,1,32,272,555,12239000
2008,1,32,256,536,11449000
2007,1,32,228,499,20036000
2006,1,32,226,491,10082000
2005,1,32,250,519,12624000
2004,1,32,211,459,8853000
2003,1,32,155,341,6086000
2002,1,32,161,320,6199000
2001,1,32,143,311,6635000
2000,1,32,160,331,6461000
1999,1,32,145,315,5710000
1998,1,32,143,310,5243000
1997,1,32,138,293,4098000
1996,1,32,167,342,4888000
1995,1,32,146,291,3579000
1994,1,32,133,281,3127000
1993,1,32,159,341,3362000
2011,1,33,73,146,2980000
2010,1,33,95,179,4079000
2009,1,33,80,143,3453000
2008,1,33,76,165,3707000
2007,1,33,78,159,4478000
2006,1,33,72,146,3326000
2005,1,33,93,176,5210000
2004,1,33,80,149,3574000
2003,1,33,60,113,2429000
2002,1,33,56,97,2413000
2001,1,33,41,84,1377000
2000,1,33,57,110,2020000
1999,1,33,55,90,2676000
1998,1,33,75,148,3141000
1997,1,33,87,189,5088000
1996,1,33,72,154,2853000
1995,1,33,56,124,2160000
1994,1,33,90,193,2977000
1993,1,33,97,182,3058000
2011,1,34,331,682,16332000
2010,1,34,328,625,15025000
2009,1,34,375,733,20845000
2008,1,34,398,784,20096000
2007,1,34,415,862,48594000
2006,1,34,416,865,19972000
2005,1,34,412,863,19222000
2004,1,34,442,843,17902000
2003,1,34,390,781,15892000
2002,1,34,338,707,14239000
2001,1,34,365,767,15905000
2000,1,34,376,787,17127000
1999,1,34,367,756,16061000
1998,1,34,408,904,15357000
1997,1,34,393,831,15327000
1996,1,34,399,884,14717000
1995,1,34,427,898,15660000
1994,1,34,447,956,13936000
1993,1,34,459,1049,17202000
2011,1,35,175,399,9278000
2010,1,35,156,344,7474000
2009,1,35,211,475,11870000
2008,1,35,180,403,8596000
2007,1,35,189,423,8593000
2006,1,35,175,432,7823000
2005,1,35,160,360,6269000
2004,1,35,176,404,8229000
2003,1,35,184,415,7132000
2002,1,35,169,400,7920000
2001,1,35,151,374,7219000
2000,1,35,185,419,7173000
1999,1,35,216,500,7222000
1998,1,35,186,476,6044000
1997,1,35,204,482,6192000
1996,1,35,203,515,6629000
1995,1,35,192,498,5084000
1994,1,35,180,459,5445000
1993,1,35,187,464,6106000
2011,1,36,1013,1924,44347000
2010,1,36,1001,1980,36542000
2009,1,36,1037,2027,42898000
2008,1,36,1137,2150,46992000
2007,1,36,1042,1966,36965000
2006,1,36,1128,2138,42042000
2005,1,36,1047,2002,36939000
2004,1,36,1033,1994,34149000
2003,1,36,906,1716,31078000
2002,1,36,893,1695,28927000
2001,1,36,947,1838,33615000
2000,1,36,959,1831,32243000
1999,1,36,1053,2063,33855000
1998,1,36,1045,2048,32580000
1997,1,36,1065,2117,34573000
1996,1,36,1112,2240,30202000
1995,1,36,1095,2219,29570000
1994,1,36,1124,2342,28981000
1993,1,36,1169,2365,31320000
2011,1,37,1517,3256,69170000
2010,1,37,1476,3208,64372000
2009,1,37,1615,3525,69253000
2008,1,37,1544,3171,69630000
2007,1,37,1610,3557,71566000
2006,1,37,1481,3244,67026000
2005,1,37,1503,3197,62641000
2004,1,37,1490,3165,56827000
2003,1,37,1493,3207,65385000
2002,1,37,1466,3234,59386000
2001,1,37,1370,2963,55894000
2000,1,37,1445,3031,57308000
1999,1,37,1426,3041,51465000
1998,1,37,1545,3353,55464000
1997,1,37,1463,3239,46182000
1996,1,37,1489,3307,49110000
1995,1,37,1500,3388,42679000
1994,1,37,1454,3346,40890000
1993,1,37,1515,3392,41530000
2011,1,38,58,111,2230000
2010,1,38,60,129,3518000
2009,1,38,45,113,2269000
2008,1,38,50,119,2474000
2007,1,38,51,119,2133000
2006,1,38,61,153,2349000
2005,1,38,59,150,2327000
2004,1,38,42,102,1781000
2003,1,38,47,129,1904000
2002,1,38,47,118,1846000
2001,1,38,43,105,1645000
2000,1,38,56,115,1767000
1999,1,38,57,140,2116000
1998,1,38,76,171,2122000
1997,1,38,56,122,1802000
1996,1,38,53,121,1500000
1995,1,38,61,151,1590000
1994,1,38,59,158,1463000
1993,1,38,76,170,2061000
2011,1,39,1008,2069,46702000
2010,1,39,1009,2032,42037000
2009,1,39,1134,2270,51186000
2008,1,39,1188,2420,54020000
2007,1,39,1188,2443,50731000
2006,1,39,1165,2463,50059000
2005,1,39,1078,2228,44351000
2004,1,39,1024,2207,43303000
2003,1,39,1029,2175,43175000
2002,1,39,993,2012,41956000
2001,1,39,1072,2286,49897000
2000,1,39,1044,2153,39882000
1999,1,39,1049,2285,37473000
1998,1,39,1126,2414,40913000
1997,1,39,1146,2375,37233000
1996,1,39,1114,2362,38113000
1995,1,39,1178,2559,37580000
1994,1,39,1052,2253,29359000
1993,1,39,1060,2277,30652000
2011,1,40,389,878,15709000
2010,1,40,379,874,17665000
2009,1,40,357,771,13391000
2008,1,40,417,901,16892000
2007,1,40,359,814,14200000
2006,1,40,413,930,16879000
2005,1,40,374,870,13790000
2004,1,40,359,806,12586000
2003,1,40,412,906,14736000
2002,1,40,388,827,14447000
2001,1,40,382,912,13984000
2000,1,40,455,1035,17192000
1999,1,40,436,921,15541000
1998,1,40,399,876,14995000
1997,1,40,469,1077,13489000
1996,1,40,436,974,11953000
1995,1,40,423,951,11317000
1994,1,40,443,1036,12289000
1993,1,40,485,1154,12972000
2011,1,41,160,312,5338000
2010,1,41,138,287,5870000
2009,1,41,158,331,7014000
2008,1,41,156,293,6351000
2007,1,41,159,306,5417000
2006,1,41,139,287,4201000
2005,1,41,131,269,5190000
2004,1,41,158,311,6056000
2003,1,41,144,307,4707000
2002,1,41,152,284,4416000
2001,1,41,114,254,4144000
2000,1,41,132,268,5618000
1999,1,41,142,310,6126000
1998,1,41,119,225,7502000
1997,1,41,129,248,3205000
1996,1,41,129,272,3547000
1995,1,41,131,284,4225000
1994,1,41,132,267,2689000
1993,1,41,99,208,2473000
2011,1,42,534,1066,26497000
2010,1,42,509,972,25728000
2009,1,42,566,1178,31052000
2008,1,42,634,1291,35132000
2007,1,42,576,1152,30177000
2006,1,42,590,1182,30561000
2005,1,42,568,1121,24857000
2004,1,42,532,1087,26588000
2003,1,42,462,936,20413000
2002,1,42,498,982,21822000
2001,1,42,495,1023,25113000
2000,1,42,504,1012,22993000
1999,1,42,548,1089,29899000
1998,1,42,556,1123,20905000
1997,1,42,700,1498,29038000
1996,1,42,566,1293,23342000
1995,1,42,614,1327,22081000
1994,1,42,707,1510,24424000
1993,1,42,672,1495,22105000
2011,1,44,60,120,2599000
2010,1,44,65,136,3028000
2009,1,44,50,78,2303000
2008,1,44,56,113,3288000
2007,1,44,60,117,3111000
2006,1,44,41,95,4361000
2005,1,44,47,86,1906000
2004,1,44,51,93,2148000
2003,1,44,38,71,1303000
2002,1,44,44,91,1671000
2001,1,44,44,113,2731000
2000,1,44,60,116,2982000
1999,1,44,39,84,1386000
1998,1,44,48,100,1910000
1997,1,44,49,96,3280000
1996,1,44,47,114,1673000
1995,1,44,46,92,1147000
1994,1,44,57,122,2034000
1993,1,44,64,148,1618000
2011,1,45,881,1881,23880000
2010,1,45,840,1826,35883000
2009,1,45,949,2072,43219000
2008,1,45,886,1901,43686000
2007,1,45,876,1874,41815000
2006,1,45,840,1786,36608000
2005,1,45,844,1806,37800000
2004,1,45,830,1809,35943000
2003,1,45,806,1667,32069000
2002,1,45,755,1529,28190000
2001,1,45,772,1724,33743000
2000,1,45,791,1680,33361000
1999,1,45,802,1723,31437000
1998,1,45,860,1833,30193000
1997,1,45,940,2032,34235000
1996,1,45,911,2077,31264000
1995,1,45,1006,2272,32784000
1994,1,45,970,2177,28827000
1993,1,45,1068,2586,31254000
2011,1,46,64,146,4685000
2010,1,46,76,154,2719000
2009,1,46,49,113,2443000
2008,1,46,57,125,2762000
2007,1,46,43,91,1706000
2006,1,46,47,107,1823000
2005,1,46,49,80,1595000
2004,1,46,46,93,1780000
2003,1,46,51,114,1684000
2002,1,46,44,99,1886000
2001,1,46,51,125,1803000
2000,1,46,45,86,1489000
1999,1,46,47,104,1455000
1998,1,46,45,87,1334000
1997,1,46,48,107,1256000
1996,1,46,53,126,1287000
1995,1,46,49,113,1526000
1994,1,46,88,194,2513000
1993,1,46,57,157,1902000
2011,1,47,3259,6698,132830000
2010,1,47,3336,6819,128374000
2009,1,47,3470,6928,156233000
2008,1,47,3649,7359,155490000
2007,1,47,3458,7012,150417000
2006,1,47,3496,7071,142617000
2005,1,47,3176,6605,141681000
2004,1,47,3012,6209,123611000
2003,1,47,3107,6313,118651000
2002,1,47,3068,6266,122493000
2001,1,47,3132,6428,126772000
2000,1,47,3169,6535,120403000
1999,1,47,3232,6615,112643000
1998,1,47,3142,6603,115876000
1997,1,47,3142,6454,95840000
1996,1,47,3117,6511,97880000
1995,1,47,2894,5881,83406000
1994,1,47,2872,6137,83252000
1993,1,47,2936,6248,81977000
2011,1,48,2718,6016,131406000
2010,1,48,2613,5751,118517000
2009,1,48,2829,6226,142592000
2008,1,48,2780,6120,149980000
2007,1,48,2620,5863,125950000
2006,1,48,2765,6225,128270000
2005,1,48,2508,5653,121141000
2004,1,48,2490,5480,99590000
2003,1,48,2485,5484,104900000
2002,1,48,2527,5458,121378000
2001,1,48,2580,5695,115568000
2000,1,48,2652,5960,109069000
1999,1,48,2714,6086,102846000
1998,1,48,2812,6360,99378000
1997,1,48,2867,6520,93857000
1996,1,48,2777,6507,93228000
1995,1,48,2933,6866,88581000
1994,1,48,2924,6901,86705000
1993,1,48,3107,7479,98292000
2011,1,49,182,447,7815000
2010,1,49,172,402,6355000
2009,1,49,173,406,8711000
2008,1,49,136,337,6818000
2007,1,49,123,328,6519000
2006,1,49,147,370,7316000
2005,1,49,151,331,6071000
2004,1,49,149,332,6249000
2003,1,49,143,356,6076000
2002,1,49,131,340,5173000
2001,1,49,157,372,7339000
2000,1,49,132,343,7074000
1999,1,49,133,310,5613000
1998,1,49,141,369,5736000
1997,1,49,136,343,5062000
1996,1,49,120,301,3758000
1995,1,49,99,268,3429000
1994,1,49,109,264,3147000
1993,1,49,119,302,4092000
2011,1,50,24,46,792000
2010,1,50,24,43,924000
2009,1,50,38,76,1655000
2008,1,50,35,65,1154000
2007,1,50,42,84,1936000
2006,1,50,27,58,1403000
2005,1,50,47,98,1733000
2004,1,50,42,87,1629000
2003,1,50,37,81,1727000
2002,1,50,32,57,808000
2001,1,50,23,32,980000
2000,1,50,32,64,788000
1999,1,50,29,44,720000
1998,1,50,37,71,1453000
1997,1,50,48,88,1620000
1996,1,50,27,46,723000
1995,1,50,36,65,871000
1994,1,50,31,57,606000
1993,1,50,30,58,661000
2011,1,51,1357,3010,90550000
2010,1,51,1240,2669,74025000
2009,1,51,1471,3178,91428000
2008,1,51,1470,3244,94131000
2007,1,51,1503,3437,102695000
2006,1,51,1442,3277,80152000
2005,1,51,1330,3011,73137000
2004,1,51,1267,2837,62513000
2003,1,51,1144,2482,61054000
2002,1,51,1087,2483,55274000
