id,state,regionalPriceParity,purchasingPower,metroName
35015,35,91.5,109.2896175,New Mexico (Nonmetropolitan Portion)
35017,35,91.5,109.2896175,New Mexico (Nonmetropolitan Portion)
35019,35,91.5,109.2896175,New Mexico (Nonmetropolitan Portion)
35021,35,91.5,109.2896175,New Mexico (Nonmetropolitan Portion)
35023,35,91.5,109.2896175,New Mexico (Nonmetropolitan Portion)
35025,35,91.5,109.2896175,New Mexico (Nonmetropolitan Portion)
35027,35,91.5,109.2896175,New Mexico (Nonmetropolitan Portion)
35028,35,91.5,109.2896175,New Mexico (Nonmetropolitan Portion)
35029,35,91.5,109.2896175,New Mexico (Nonmetropolitan Portion)
35031,35,91.5,109.2896175,New Mexico (Nonmetropolitan Portion)
35033,35,91.5,109.2896175,New Mexico (Nonmetropolitan Portion)
35035,35,91.5,109.2896175,New Mexico (Nonmetropolitan Portion)
35037,35,91.5,109.2896175,New Mexico (Nonmetropolitan Portion)
35039,35,91.5,109.2896175,New Mexico (Nonmetropolitan Portion)
35041,35,91.5,109.2896175,New Mexico (Nonmetropolitan Portion)
35043,35,96.6,103.5196687,"Albuquerque, NM (Metropolitan Statistical Area)"
35045,35,92.7,107.8748652,"Farmington, NM (Metropolitan Statistical Area)"
35047,35,91.5,109.2896175,New Mexico (Nonmetropolitan Portion)
35049,35,99.2,100.8064516,"Santa Fe, NM (Metropolitan Statistical Area)"
35051,35,91.5,109.2896175,New Mexico (Nonmetropolitan Portion)
35053,35,91.5,109.2896175,New Mexico (Nonmetropolitan Portion)
35055,35,91.5,109.2896175,New Mexico (Nonmetropolitan Portion)
35057,35,96.6,103.5196687,"Albuquerque, NM (Metropolitan Statistical Area)"
35059,35,91.5,109.2896175,New Mexico (Nonmetropolitan Portion)
35061,35,96.6,103.5196687,"Albuquerque, NM (Metropolitan Statistical Area)"
36001,36,99.1,100.9081736,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)"
36003,36,95.7,104.4932079,New York (Nonmetropolitan Portion)
36005,36,122.2,81.83306056,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)"
36007,36,95.6,104.6025105,"Binghamton, NY (Metropolitan Statistical Area)"
36009,36,95.7,104.4932079,New York (Nonmetropolitan Portion)
36011,36,95.7,104.4932079,New York (Nonmetropolitan Portion)
36013,36,95.7,104.4932079,New York (Nonmetropolitan Portion)
36015,36,94.2,106.1571125,"Elmira, NY (Metropolitan Statistical Area)"
36017,36,95.7,104.4932079,New York (Nonmetropolitan Portion)
36019,36,95.7,104.4932079,New York (Nonmetropolitan Portion)
