id,stateAbbr,stateName,debtPerCapita,rank
0,US,United States,9366.050174,
1,AL,Alabama,6114.725309,39
2,AK,Alaska,14184.32777,2
4,AZ,Arizona,7908.94544,26
5,AR,Arkansas,4621.410628,48
6,CA,California,11166.14581,8
8,CO,Colorado,10268.04669,10
9,CT,Connecticut,11584.04167,5
10,DE,Delaware,9157.205272,17
12,FL,Florida,8010.06733,24
13,GA,Georgia,5568.342079,44
15,HI,Hawaii,9755.682881,13
16,ID,Idaho,3950.507968,50
17,IL,Illinois,11321.7051,7
18,IN,Indiana,7597.162401,30
19,IA,Iowa,5995.000996,42
20,KS,Kansas,9468.960102,16
21,KY,Kentucky,9678.698346,15
22,LA,Louisiana,8470.764482,22
23,ME,Maine,6764.268603,36
24,MD,Maryland,7672.007307,29
25,MA,Massachusetts,14055.63519,3
26,MI,Michigan,7476.017961,32
27,MN,Minnesota,8774.788338,20
28,MS,Mississippi,4771.291936,47
29,MO,Missouri,7680.933465,28
30,MT,Montana,6011.621392,40
31,NE,Nebraska,7049.14146,34
32,NV,Nevada,10217.32458,11
33,NH,New Hampshire,8530.837113,21
34,NJ,New Jersey,11595.27164,4
35,NM,New Mexico,8036.279508,23
36,NY,New York,17203.83653,1
37,NC,North Carolina,5329.206002,45
38,ND,North Dakota,6512.995704,38
39,OH,Ohio,6718.867823,37
40,OK,Oklahoma,5090.939195,46
41,OR,Oregon,9019.377168,18
42,PA,Pennsylvania,9702.021068,14
44,RI,Rhode Island,11352.91894,6
45,SC,South Carolina,8820.129113,19
46,SD,South Dakota,6994.460354,35
47,TN,Tennessee,6005.326243,41
48,TX,Texas,10152.07383,12
49,UT,Utah,7204.081268,33
50,VT,Vermont,7551.487096,31
51,VA,Virginia,7912.99092,25
53,WA,Washington,10922.32885,9
54,WV,West Virginia,5927.171389,43
55,WI,Wisconsin,7767.329501,27
56,WY,Wyoming,4188.111402,49
11,DC,District of Columbia,18425.5753,1
