id,stateAbbr,stateName,2011,2012
0,US,United States,2.640064605,2.637635383
1,AL,Alabama,2.540953709,2.551077435
2,AK,Alaska,2.70611666,2.800696202
4,AZ,Arizona,2.690335752,2.677064487
5,AR,Arkansas,2.535467147,2.507158662
6,CA,California,2.957115886,2.965575817
8,CO,Colorado,2.531820078,2.540548312
9,CT,Connecticut,2.561736346,2.558329135
10,DE,Delaware,2.649289299,2.621072675
12,FL,Florida,2.622444955,2.624699584
13,GA,Georgia,2.735339567,2.732966157
15,HI,Hawaii,2.969286366,3.011732046
16,ID,Idaho,2.681924808,2.685969618
17,IL,Illinois,2.652943886,2.636429881
18,IN,Indiana,2.565752007,2.559985033
19,IA,Iowa,2.436129409,2.42361668
20,KS,Kansas,2.534392725,2.519746192
21,KY,Kentucky,2.537761328,2.492406579
22,LA,Louisiana,2.612999771,2.602113555
23,ME,Maine,2.341528228,2.332841637
24,MD,Maryland,2.665662536,2.661654888
25,MA,Massachusetts,2.507473933,2.536564074
26,MI,Michigan,2.557266889,2.528557229
27,MN,Minnesota,2.484867232,2.482355821
28,MS,Mississippi,2.670280326,2.652235033
29,MO,Missouri,2.493152288,2.47878057
30,MT,Montana,2.397897341,2.387369234
31,NE,Nebraska,2.475098093,2.459630301
32,NV,Nevada,2.7354431,2.704782909
33,NH,New Hampshire,2.474741216,2.466813192
34,NJ,New Jersey,2.725987797,2.712803774
35,NM,New Mexico,2.6581935,2.670449257
36,NY,New York,2.626556462,2.622808893
37,NC,North Carolina,2.551780383,2.54524894
38,ND,North Dakota,2.324569574,2.316847916
39,OH,Ohio,2.476260836,2.467106962
40,OK,Oklahoma,2.55180141,2.560992958
41,OR,Oregon,2.495231641,2.513540595
42,PA,Pennsylvania,2.493143566,2.48788655
44,RI,Rhode Island,2.446614871,2.442322729
45,SC,South Carolina,2.566698175,2.565108485
46,SD,South Dakota,2.444289405,2.468886384
47,TN,Tennessee,2.532953748,2.541392853
48,TX,Texas,2.835303835,2.839485054
49,UT,Utah,3.133796549,3.135991095
50,VT,Vermont,2.335664716,2.323541699
51,VA,Virginia,2.62712621,2.613496955
53,WA,Washington,2.539264102,2.562028764
54,WV,West Virginia,2.455755173,2.435421229
55,WI,Wisconsin,2.443811331,2.437590731
56,WY,Wyoming,2.49099259,2.517137706
11,DC,District of Columbia,2.15111475,2.220530109
