id,stateAbbr,stateName,taxFreedomDay,rank
0,US,United States,2014-04-18,
1,AL,Alabama,2014-04-05,44
2,AK,Alaska,2014-04-06,40
4,AZ,Arizona,2014-04-05,43
5,AR,Arkansas,2014-04-07,39
6,CA,California,2014-04-24,6
8,CO,Colorado,2014-04-17,16
9,CT,Connecticut,2014-05-13,1
10,DE,Delaware,2014-04-14,22
12,FL,Florida,2014-04-15,19
13,GA,Georgia,2014-04-09,33
15,HI,Hawaii,2014-04-14,24
16,ID,Idaho,2014-04-09,36
17,IL,Illinois,2014-04-25,5
18,IN,Indiana,2014-04-13,26
19,IA,Iowa,2014-04-09,34
20,KS,Kansas,2014-04-09,35
21,KY,Kentucky,2014-04-06,41
22,LA,Louisiana,2014-03-29,49
23,ME,Maine,2014-04-08,38
24,MD,Maryland,2014-04-21,8
25,MA,Massachusetts,2014-04-25,4
26,MI,Michigan,2014-04-14,23
27,MN,Minnesota,2014-04-23,7
28,MS,Mississippi,2014-03-29,50
29,MO,Missouri,2014-04-08,37
30,MT,Montana,2014-04-10,32
31,NE,Nebraska,2014-04-12,28
32,NV,Nevada,2014-04-14,21
33,NH,New Hampshire,2014-04-15,20
34,NJ,New Jersey,2014-05-04,3
35,NM,New Mexico,2014-04-03,46
36,NY,New York,2014-05-06,2
37,NC,North Carolina,2014-04-10,30
38,ND,North Dakota,2014-04-18,14
39,OH,Ohio,2014-04-12,29
40,OK,Oklahoma,2014-04-06,42
41,OR,Oregon,2014-04-15,18
42,PA,Pennsylvania,2014-04-17,15
44,RI,Rhode Island,2014-04-19,12
45,SC,South Carolina,2014-04-03,47
46,SD,South Dakota,2014-04-04,45
47,TN,Tennessee,2014-04-02,48
48,TX,Texas,2014-04-10,31
49,UT,Utah,2014-04-13,27
50,VT,Vermont,2014-04-14,25
51,VA,Virginia,2014-04-20,10
53,WA,Washington,2014-04-20,9
54,WV,West Virginia,2014-04-19,13
55,WI,Wisconsin,2014-04-20,11
56,WY,Wyoming,2014-04-16,17
11,DC,District of Columbia,2014-04-17,16
