year,incomeTaxRate,incomeGreaterThan,incomeNotGreaterThan,filingStatus
2019,0.1,0,13850,headOfHousehold
2019,0.12,13851,52850,headOfHousehold
2019,0.22,52851,84200,headOfHousehold
2019,0.24,84201,160700,headOfHousehold
2019,0.32,160701,204100,headOfHousehold
2019,0.35,204101,510300,headOfHousehold
2019,0.37,510301,,headOfHousehold
2019,0.1,0,19400,marriedFilingJointly
2019,0.12,19401,78950,marriedFilingJointly
2019,0.22,78951,168400,marriedFilingJointly
2019,0.24,168401,321450,marriedFilingJointly
2019,0.32,321451,408200,marriedFilingJointly
2019,0.35,408201,612350,marriedFilingJointly
2019,0.37,612351,,marriedFilingJointly
2019,0.1,0,9700,single
2019,0.12,9701,39475,single
2019,0.22,39476,84200,single
2019,0.24,84201,160725,single
2019,0.32,160726,204100,single
2019,0.35,204101,510300,single
2019,0.37,510301,,single 
2019,0.1,0,9700,marriedFilingSeparately
2019,0.12,9701,39475,marriedFilingSeparately
2019,0.22,39476,84200,marriedFilingSeparately
2019,0.24,84201,160725,marriedFilingSeparately
2019,0.32,160726,204100,marriedFilingSeparately
2019,0.35,204101,306175,marriedFilingSeparately
2019,0.37,306176,,marriedFilingSeparately
2018,0.1,0,13600,headOfHousehold
2018,0.12,13601,51800,headOfHousehold
2018,0.22,51801,82500,headOfHousehold
2018,0.24,82501,157500,headOfHousehold
2018,0.32,157501,200000,headOfHousehold
2018,0.35,200001,500000,headOfHousehold
2018,0.37,500001,,headOfHousehold
2018,0.1,0,19050,marriedFilingJointly
2018,0.12,19051,77400,marriedFilingJointly
2018,0.22,77401,165000,marriedFilingJointly
2018,0.24,165001,315000,marriedFilingJointly
2018,0.32,315001,400000,marriedFilingJointly
2018,0.35,400001,600000,marriedFilingJointly
2018,0.37,600001,,marriedFilingJointly
2018,0.1,0,9525,single
2018,0.12,9526,38700,single
2018,0.22,38701,82500,single
2018,0.24,82501,157500,single
2018,0.32,157501,200000,single
2018,0.35,200001,500000,single
2018,0.37,500001,,single 
2018,0.1,0,9525,marriedFilingSeparately
2018,0.12,9526,38700,marriedFilingSeparately
2018,0.22,38701,82500,marriedFilingSeparately
2018,0.24,82501,157500,marriedFilingSeparately
2018,0.32,157501,200000,marriedFilingSeparately
2018,0.35,200001,300000,marriedFilingSeparately
2018,0.37,300001,,marriedFilingSeparately
2017,0.1,0,13350,headOfHousehold
2017,0.15,13351,50800,headOfHousehold
2017,0.25,50801,131200,headOfHousehold
2017,0.28,131201,212500,headOfHousehold
2017,0.33,212501,416700,headOfHousehold
2017,0.35,416701,444550,headOfHousehold
2017,0.396,444551,,headOfHousehold
2017,0.1,0,18650,marriedFilingJointly
2017,0.15,18651,75900,marriedFilingJointly
2017,0.25,75901,153100,marriedFilingJointly
2017,0.28,153101,233350,marriedFilingJointly
2017,0.33,233351,416700,marriedFilingJointly
2017,0.35,416701,470700,marriedFilingJointly
2017,0.396,470701,,marriedFilingJointly
2017,0.1,0,9325,single
2017,0.15,9326,37950,single
2017,0.25,37951,91900,single
2017,0.28,91901,191650,single
2017,0.33,191651,416700,single
2017,0.35,416701,418400,single
2017,0.396,418401,,single
2017,0.1,0,9325,marriedFilingSeparately
2017,0.15,9326,37950,marriedFilingSeparately
2017,0.25,37951,76550,marriedFilingSeparately
2017,0.28,76551,116675,marriedFilingSeparately
2017,0.33,116676,208350,marriedFilingSeparately
2017,0.35,208351,235350,marriedFilingSeparately
2017,0.396,235351,,marriedFilingSeparately
2016,0.1,0,13250,headOfHousehold
2016,0.15,13251,50400,headOfHousehold
2016,0.25,50401,130150,headOfHousehold
2016,0.28,130151,210800,headOfHousehold
2016,0.33,210801,413350,headOfHousehold
2016,0.35,413351,441000,headOfHousehold
2016,0.396,441001,,headOfHousehold
2016,0.1,0,18550,marriedFilingJointly
2016,0.15,18551,75300,marriedFilingJointly
2016,0.25,75301,151900,marriedFilingJointly
2016,0.28,151901,231450,marriedFilingJointly
2016,0.33,231451,413350,marriedFilingJointly
2016,0.35,413351,466950,marriedFilingJointly
2016,0.396,466951,,marriedFilingJointly
2016,0.1,0,9275,single
2016,0.15,9276,37650,single
2016,0.25,37651,91150,single
2016,0.28,91151,190150,single
2016,0.33,190151,413350,single
2016,0.35,413351,415050,single
2016,0.396,415051,,single
2016,0.1,0,9275,marriedFilingSeparately
2016,0.15,9276,37650,marriedFilingSeparately
2016,0.25,37651,75950,marriedFilingSeparately
2016,0.28,75951,115725,marriedFilingSeparately
2016,0.33,115726,206675,marriedFilingSeparately
2016,0.35,206676,233475,marriedFilingSeparately
2016,0.396,233476,,marriedFilingSeparately
2015,0.1,0,13150,headOfHousehold
2015,0.15,13151,50200,headOfHousehold
2015,0.25,50201,129600,headOfHousehold
2015,0.28,129601,209850,headOfHousehold
2015,0.33,209851,411500,headOfHousehold
2015,0.35,411501,439000,headOfHousehold
2015,0.396,439001,,headOfHousehold
2015,0.1,0,18450,marriedFilingJointly
2015,0.15,18451,74900,marriedFilingJointly
2015,0.25,74901,151200,marriedFilingJointly
2015,0.28,151201,230450,marriedFilingJointly
2015,0.33,230451,411500,marriedFilingJointly
2015,0.35,411501,464850,marriedFilingJointly
2015,0.396,464851,,marriedFilingJointly
2015,0.1,0,9225,single
2015,0.15,9226,37450,single
2015,0.25,37451,90750,single
2015,0.28,90751,189300,single
2015,0.33,189301,411500,single
2015,0.35,411501,413200,single
2015,0.396,413201,,single
2015,0.1,0,9225,marriedFilingSeparately
2015,0.15,9226,37450,marriedFilingSeparately
2015,0.25,37451,75600,marriedFilingSeparately
2015,0.28,75601,115225,marriedFilingSeparately
2015,0.33,115226,205750,marriedFilingSeparately
2015,0.35,205751,232425,marriedFilingSeparately
2015,0.396,232426,,marriedFilingSeparately
2014,0.1,0,12950,headOfHousehold
2014,0.15,12950,49400,headOfHousehold
2014,0.25,49400,127550,headOfHousehold
2014,0.28,127550,206600,headOfHousehold
2014,0.33,206600,405100,headOfHousehold
2014,0.35,405100,432200,headOfHousehold
2014,0.396,432200,,headOfHousehold
2014,0.1,0,15150,marriedFilingJointly
2014,0.15,15150,73800,marriedFilingJointly
2014,0.25,73800,148850,marriedFilingJointly
2014,0.28,148850,226850,marriedFilingJointly
2014,0.33,226850,405100,marriedFilingJointly
2014,0.35,405100,457600,marriedFilingJointly
2014,0.396,457600,,marriedFilingJointly
2014,0.1,0,9075,marriedFilingSeparately
2014,0.15,9075,36900,marriedFilingSeparately
2014,0.25,36900,74425,marriedFilingSeparately
2014,0.28,74425,113425,marriedFilingSeparately
2014,0.33,113425,202550,marriedFilingSeparately
2014,0.35,202550,228800,marriedFilingSeparately
2014,0.396,228800,,marriedFilingSeparately
2014,0.1,0,9075,single
2014,0.15,9075,36900,single
2014,0.25,36900,89350,single
2014,0.28,89350,186350,single
2014,0.33,186350,405100,single
2014,0.35,405100,406750,single
2014,0.396,406750,,single
2013,0.1,0,12750,headOfHousehold
2013,0.15,12750,48600,headOfHousehold
2013,0.25,48600,125450,headOfHousehold
2013,0.28,125450,203150,headOfHousehold
2013,0.33,203150,398350,headOfHousehold
2013,0.35,398350,425000,headOfHousehold
2013,0.396,425000,,headOfHousehold
2013,0.1,0,17850,marriedFilingJointly
2013,0.15,17850,72500,marriedFilingJointly
2013,0.25,72500,146400,marriedFilingJointly
2013,0.28,146400,223050,marriedFilingJointly
2013,0.33,223050,398350,marriedFilingJointly
2013,0.35,398350,450000,marriedFilingJointly
2013,0.396,450000,,marriedFilingJointly
2013,0.1,0,8925,marriedFilingSeparately
2013,0.15,8925,36250,marriedFilingSeparately
2013,0.25,36250,73200,marriedFilingSeparately
2013,0.28,73200,111525,marriedFilingSeparately
2013,0.33,111525,199175,marriedFilingSeparately
2013,0.35,199175,225000,marriedFilingSeparately
2013,0.396,225000,,marriedFilingSeparately
2013,0.1,0,8925,single
2013,0.15,8925,36250,single
2013,0.25,36250,87850,single
2013,0.28,87850,183250,single
2013,0.33,183250,398350,single
2013,0.35,398350,400000,single
2013,0.396,400000,,single
2012,0.1,0,12400,headOfHousehold
2012,0.15,12400,47350,headOfHousehold
2012,0.25,47350,122300,headOfHousehold
2012,0.28,122300,198050,headOfHousehold
2012,0.33,198050,388350,headOfHousehold
2012,0.35,388350,,headOfHousehold
2012,0.1,0,17400,marriedFilingJointly
2012,0.15,17400,70700,marriedFilingJointly
2012,0.25,70700,142700,marriedFilingJointly
2012,0.28,142700,217450,marriedFilingJointly
2012,0.33,217450,388350,marriedFilingJointly
2012,0.35,388350,,marriedFilingJointly
2012,0.1,0,8700,marriedFilingSeparately
2012,0.15,8700,35350,marriedFilingSeparately
2012,0.25,35350,71350,marriedFilingSeparately
2012,0.28,71350,108725,marriedFilingSeparately
2012,0.33,108725,194175,marriedFilingSeparately
2012,0.35,194175,,marriedFilingSeparately
2012,0.1,0,8700,single
2012,0.15,8700,35350,single
2012,0.25,35350,85650,single
2012,0.28,85650,178650,single
2012,0.33,178650,388350,single
2012,0.35,388350,,single
2011,0.1,0,12150,headOfHousehold
2011,0.15,12150,46250,headOfHousehold
2011,0.25,46250,119400,headOfHousehold
2011,0.28,119400,193350,headOfHousehold
2011,0.33,193350,379150,headOfHousehold
2011,0.35,379150,,headOfHousehold
2011,0.1,0,17000,marriedFilingJointly
2011,0.15,17000,69000,marriedFilingJointly
2011,0.25,69000,139350,marriedFilingJointly
2011,0.28,139350,212300,marriedFilingJointly
2011,0.33,212300,379150,marriedFilingJointly
2011,0.35,379150,,marriedFilingJointly
2011,0.1,0,8500,marriedFilingSeparately
2011,0.15,8500,34500,marriedFilingSeparately
2011,0.25,34500,69675,marriedFilingSeparately
2011,0.28,69675,106150,marriedFilingSeparately
2011,0.33,106150,189575,marriedFilingSeparately
2011,0.35,189575,,marriedFilingSeparately
2011,0.1,0,8500,single
2011,0.15,8500,34500,single
2011,0.25,34500,83600,single
2011,0.28,83600,174400,single
2011,0.33,174400,379150,single
2011,0.35,379150,,single
2010,0.1,0,11950,headOfHousehold
2010,0.15,11950,45550,headOfHousehold
2010,0.25,45550,117650,headOfHousehold
2010,0.28,117650,190550,headOfHousehold
2010,0.33,190550,373650,headOfHousehold
2010,0.35,373650,,headOfHousehold
2010,0.1,0,16750,marriedFilingJointly
2010,0.15,16750,68000,marriedFilingJointly
2010,0.25,68000,137300,marriedFilingJointly
2010,0.28,137300,209250,marriedFilingJointly
2010,0.33,209250,373650,marriedFilingJointly
2010,0.35,373650,,marriedFilingJointly
2010,0.1,0,8375,marriedFilingSeparately
2010,0.15,8375,34000,marriedFilingSeparately
2010,0.25,34000,68650,marriedFilingSeparately
2010,0.28,68650,104625,marriedFilingSeparately
2010,0.33,104625,186825,marriedFilingSeparately
2010,0.35,186825,,marriedFilingSeparately
2010,0.1,0,8375,single
2010,0.15,8375,34000,single
2010,0.25,34000,82400,single
2010,0.28,82400,171850,single
2010,0.33,171850,373650,single
2010,0.35,373650,,single
2009,0.1,0,11950,headOfHousehold
2009,0.15,11950,45500,headOfHousehold
2009,0.25,45500,117450,headOfHousehold
2009,0.28,117450,190200,headOfHousehold
2009,0.33,190200,372950,headOfHousehold
2009,0.35,372950,,headOfHousehold
2009,0.1,0,16700,marriedFilingJointly
2009,0.15,16700,67900,marriedFilingJointly
2009,0.25,67900,137050,marriedFilingJointly
2009,0.28,137050,208850,marriedFilingJointly
2009,0.33,208850,372950,marriedFilingJointly
2009,0.35,372950,,marriedFilingJointly
2009,0.1,0,8350,marriedFilingSeparately
2009,0.15,8350,33950,marriedFilingSeparately
2009,0.25,33950,68525,marriedFilingSeparately
2009,0.28,68525,104425,marriedFilingSeparately
2009,0.33,104425,186475,marriedFilingSeparately
2009,0.35,186475,,marriedFilingSeparately
2009,0.1,0,8350,single
2009,0.15,8350,33950,single
2009,0.25,33950,82250,single
2009,0.28,82250,171550,single
2009,0.33,171550,372950,single
2009,0.35,372950,,single
2008,0.1,0,11450,headOfHousehold
2008,0.15,11450,43650,headOfHousehold
2008,0.25,43650,112650,headOfHousehold
2008,0.28,112650,182400,headOfHousehold
2008,0.33,182400,357700,headOfHousehold
2008,0.35,357700,,headOfHousehold
2008,0.1,0,16050,marriedFilingJointly
2008,0.15,16050,65100,marriedFilingJointly
2008,0.25,65100,131450,marriedFilingJointly
2008,0.28,131450,200300,marriedFilingJointly
2008,0.33,200300,357700,marriedFilingJointly
2008,0.35,357700,,marriedFilingJointly
2008,0.1,0,8025,marriedFilingSeparately
2008,0.15,8025,32550,marriedFilingSeparately
2008,0.25,32550,65725,marriedFilingSeparately
2008,0.28,65725,100150,marriedFilingSeparately
2008,0.33,100150,178850,marriedFilingSeparately
2008,0.35,178850,,marriedFilingSeparately
2008,0.1,0,8025,single
2008,0.15,8025,32550,single
2008,0.25,32550,78850,single
2008,0.28,78850,164550,single
2008,0.33,164550,357700,single
2008,0.35,357700,,single
2007,0.1,0,11200,headOfHousehold
2007,0.15,11200,42650,headOfHousehold
2007,0.25,42650,110100,headOfHousehold
2007,0.28,110100,178350,headOfHousehold
2007,0.33,178350,349700,headOfHousehold
2007,0.35,349700,,headOfHousehold
2007,0.1,0,15650,marriedFilingJointly
2007,0.15,15650,63700,marriedFilingJointly
2007,0.25,63700,128500,marriedFilingJointly
2007,0.28,128500,195850,marriedFilingJointly
2007,0.33,195850,349700,marriedFilingJointly
2007,0.35,349700,,marriedFilingJointly
2007,0.1,0,7825,marriedFilingSeparately
2007,0.15,7825,31850,marriedFilingSeparately
2007,0.25,31850,64250,marriedFilingSeparately
2007,0.28,64250,97925,marriedFilingSeparately
2007,0.33,97925,174850,marriedFilingSeparately
2007,0.35,174850,,marriedFilingSeparately
2007,0.1,0,7825,single
2007,0.15,7825,31850,single
2007,0.25,31850,77100,single
2007,0.28,77100,160850,single
2007,0.33,160850,349700,single
2007,0.35,349700,,single
2006,0.1,0,10750,headOfHousehold
2006,0.15,10750,41050,headOfHousehold
2006,0.25,41050,106000,headOfHousehold
2006,0.28,106000,171650,headOfHousehold
2006,0.33,171650,336550,headOfHousehold
2006,0.35,336550,,headOfHousehold
2006,0.1,0,15100,marriedFilingJointly
2006,0.15,15100,61300,marriedFilingJointly
2006,0.25,61300,123700,marriedFilingJointly
2006,0.28,123700,188450,marriedFilingJointly
2006,0.33,188450,336550,marriedFilingJointly
2006,0.35,336550,,marriedFilingJointly
2006,0.1,0,7550,marriedFilingSeparately
2006,0.15,7550,30650,marriedFilingSeparately
2006,0.25,30650,61850,marriedFilingSeparately
2006,0.28,61850,94225,marriedFilingSeparately
2006,0.33,94225,168275,marriedFilingSeparately
2006,0.35,168275,,marriedFilingSeparately
2006,0.1,0,7550,single
2006,0.15,7550,30650,single
2006,0.25,30650,74200,single
2006,0.28,74200,154800,single
2006,0.33,154800,336550,single
2006,0.35,336550,,single
2005,0.1,0,10450,headOfHousehold
2005,0.15,10450,39800,headOfHousehold
2005,0.25,39800,102800,headOfHousehold
2005,0.28,102800,166450,headOfHousehold
2005,0.33,166450,326450,headOfHousehold
2005,0.35,326450,,headOfHousehold
2005,0.1,0,14600,marriedFilingJointly
2005,0.15,14600,59400,marriedFilingJointly
2005,0.25,59400,119950,marriedFilingJointly
2005,0.28,119950,182800,marriedFilingJointly
2005,0.33,182800,326450,marriedFilingJointly
2005,0.35,326450,,marriedFilingJointly
2005,0.1,0,7300,marriedFilingSeparately
2005,0.15,7300,29700,marriedFilingSeparately
2005,0.25,29700,59975,marriedFilingSeparately
2005,0.28,59975,91400,marriedFilingSeparately
2005,0.33,91400,163225,marriedFilingSeparately
2005,0.35,163225,,marriedFilingSeparately
2005,0.1,0,7300,single
2005,0.15,7300,29700,single
2005,0.25,29700,71950,single
2005,0.28,71950,150150,single
2005,0.33,150150,326450,single
2005,0.35,326450,,single
2004,0.1,0,10200,headOfHousehold
2004,0.15,10200,38900,headOfHousehold
2004,0.25,38900,100500,headOfHousehold
2004,0.28,100500,162700,headOfHousehold
2004,0.33,162700,319500,headOfHousehold
2004,0.35,319500,,headOfHousehold
2004,0.1,0,14300,marriedFilingJointly
2004,0.15,14300,58100,marriedFilingJointly
2004,0.25,58100,117250,marriedFilingJointly
2004,0.28,117250,178650,marriedFilingJointly
2004,0.33,178650,319100,marriedFilingJointly
2004,0.35,319100,,marriedFilingJointly
2004,0.1,0,7150,marriedFilingSeparately
2004,0.15,7150,29050,marriedFilingSeparately
2004,0.25,29050,58625,marriedFilingSeparately
2004,0.28,58625,89325,marriedFilingSeparately
2004,0.33,89325,159550,marriedFilingSeparately
2004,0.35,159550,,marriedFilingSeparately
2004,0.1,0,7150,single
2004,0.15,7150,29050,single
2004,0.25,29050,70350,single
2004,0.28,70350,146750,single
2004,0.33,146750,319100,single
2004,0.35,319100,,single
2003,0.1,0,10000,headOfHousehold
2003,0.15,10000,38050,headOfHousehold
2003,0.25,38050,98250,headOfHousehold
2003,0.28,98250,159100,headOfHousehold
2003,0.33,159100,311950,headOfHousehold
2003,0.35,311950,,headOfHousehold
2003,0.1,0,14000,marriedFilingJointly
2003,0.15,14000,56800,marriedFilingJointly
2003,0.25,56800,114650,marriedFilingJointly
2003,0.28,114650,174700,marriedFilingJointly
2003,0.33,174700,311950,marriedFilingJointly
2003,0.35,311950,,marriedFilingJointly
2003,0.1,0,7000,marriedFilingSeparately
2003,0.15,7000,23725,marriedFilingSeparately
2003,0.25,23725,57325,marriedFilingSeparately
2003,0.28,57325,87350,marriedFilingSeparately
2003,0.33,87350,155975,marriedFilingSeparately
2003,0.35,155975,,marriedFilingSeparately
2003,0.1,0,7000,single
2003,0.15,7000,28400,single
2003,0.25,28400,68800,single
2003,0.28,68800,143500,single
2003,0.33,143500,311950,single
2003,0.35,311950,,single
2002,0.1,0,10000,headOfHousehold
2002,0.15,10000,37450,headOfHousehold
2002,0.27,37450,96700,headOfHousehold
2002,0.3,96700,156600,headOfHousehold
2002,0.35,156600,307050,headOfHousehold
2002,0.386,307050,,headOfHousehold
2002,0.1,0,12000,marriedFilingJointly
2002,0.15,12000,46700,marriedFilingJointly
2002,0.27,46700,112850,marriedFilingJointly
2002,0.3,112850,171950,marriedFilingJointly
2002,0.35,171950,307050,marriedFilingJointly
2002,0.386,307050,,marriedFilingJointly
2002,0.1,0,6000,marriedFilingSeparately
2002,0.15,6000,23350,marriedFilingSeparately
2002,0.27,23350,56425,marriedFilingSeparately
2002,0.3,56425,85975,marriedFilingSeparately
2002,0.35,85975,153525,marriedFilingSeparately
2002,0.386,153525,,marriedFilingSeparately
2002,0.1,0,6000,single
2002,0.15,6000,27950,single
2002,0.27,27950,67700,single
2002,0.3,67700,141250,single
2002,0.35,141250,307050,single
2002,0.386,307050,,single
2001,0.15,0,36250,headOfHousehold
2001,0.275,36250,93650,headOfHousehold
2001,0.305,93650,151650,headOfHousehold
2001,0.355,151650,297350,headOfHousehold
2001,0.391,297350,,headOfHousehold
2001,0.15,0,45200,marriedFilingJointly
2001,0.275,45200,109250,marriedFilingJointly
2001,0.305,109250,166500,marriedFilingJointly
2001,0.355,166500,297350,marriedFilingJointly
2001,0.391,297350,,marriedFilingJointly
2001,0.15,0,22600,marriedFilingSeparately
2001,0.275,22600,54625,marriedFilingSeparately
2001,0.305,54625,83250,marriedFilingSeparately
2001,0.355,83250,148675,marriedFilingSeparately
2001,0.391,148675,,marriedFilingSeparately
2001,0.15,0,27050,single
2001,0.275,27050,65550,single
2001,0.305,65550,136750,single
2001,0.355,136750,297350,single
2001,0.391,297350,,single
2000,0.15,0,35150,headOfHousehold
2000,0.28,35150,90800,headOfHousehold
2000,0.31,90800,147050,headOfHousehold
2000,0.36,147050,288350,headOfHousehold
2000,0.396,288350,,headOfHousehold
2000,0.15,0,43850,marriedFilingJointly
2000,0.28,43850,105950,marriedFilingJointly
2000,0.31,105950,161450,marriedFilingJointly
2000,0.36,161450,288350,marriedFilingJointly
2000,0.396,288350,,marriedFilingJointly
2000,0.15,0,21925,marriedFilingSeparately
2000,0.28,21925,52975,marriedFilingSeparately
2000,0.31,52975,80725,marriedFilingSeparately
2000,0.36,80725,144175,marriedFilingSeparately
2000,0.396,144175,,marriedFilingSeparately
2000,0.15,0,26250,single
2000,0.28,26250,63550,single
2000,0.31,63550,132600,single
2000,0.36,132600,288350,single
2000,0.396,288350,,single
1999,0.15,0,34550,headOfHousehold
1999,0.28,34550,89150,headOfHousehold
1999,0.31,89150,144400,headOfHousehold
1999,0.36,144400,283150,headOfHousehold
1999,0.396,283150,,headOfHousehold
1999,0.15,0,43050,marriedFilingJointly
1999,0.28,43050,104050,marriedFilingJointly
1999,0.31,104050,158550,marriedFilingJointly
1999,0.36,158550,283150,marriedFilingJointly
1999,0.396,283150,,marriedFilingJointly
1999,0.15,0,21525,marriedFilingSeparately
1999,0.28,21525,52025,marriedFilingSeparately
1999,0.31,52025,79275,marriedFilingSeparately
1999,0.36,79275,141575,marriedFilingSeparately
1999,0.396,141575,,marriedFilingSeparately
1999,0.15,0,25750,single
1999,0.28,25750,62450,single
1999,0.31,62450,130250,single
1999,0.36,130250,283150,single
1999,0.396,283150,,single
1998,0.15,0,33950,headOfHousehold
1998,0.28,33950,87700,headOfHousehold
1998,0.31,87700,142000,headOfHousehold
1998,0.36,142000,278450,headOfHousehold
1998,0.396,278450,,headOfHousehold
1998,0.15,0,42350,marriedFilingJointly
1998,0.28,42350,102300,marriedFilingJointly
1998,0.31,102300,155950,marriedFilingJointly
1998,0.36,155950,278450,marriedFilingJointly
1998,0.396,278450,,marriedFilingJointly
1998,0.15,0,21175,marriedFilingSeparately
1998,0.28,21175,51150,marriedFilingSeparately
1998,0.31,51150,77975,marriedFilingSeparately
1998,0.36,77975,139225,marriedFilingSeparately
1998,0.396,139225,,marriedFilingSeparately
1998,0.15,0,25350,single
1998,0.28,25350,61400,single
1998,0.31,61400,128100,single
1998,0.36,128100,278450,single
1998,0.396,278450,,single
1997,0.15,0,33050,headOfHousehold
1997,0.28,33050,85350,headOfHousehold
1997,0.31,85350,138200,headOfHousehold
1997,0.36,138200,271050,headOfHousehold
1997,0.396,271050,,headOfHousehold
1997,0.15,0,41200,marriedFilingJointly
1997,0.28,41200,99600,marriedFilingJointly
1997,0.31,99600,151750,marriedFilingJointly
1997,0.36,151750,271050,marriedFilingJointly
1997,0.396,271050,,marriedFilingJointly
1997,0.15,0,20600,marriedFilingSeparately
1997,0.28,20600,49800,marriedFilingSeparately
1997,0.31,49800,75875,marriedFilingSeparately
1997,0.36,75875,135525,marriedFilingSeparately
1997,0.396,135525,,marriedFilingSeparately
1997,0.15,0,24650,single
1997,0.28,24650,59750,single
1997,0.31,59750,124650,single
1997,0.36,124650,271050,single
1997,0.396,271050,,single
1996,0.15,0,32150,headOfHousehold
1996,0.28,32150,83050,headOfHousehold
1996,0.31,83050,134500,headOfHousehold
1996,0.36,134500,263750,headOfHousehold
1996,0.396,263750,,headOfHousehold
1996,0.15,0,40100,marriedFilingJointly
1996,0.28,40100,96900,marriedFilingJointly
1996,0.31,96900,147700,marriedFilingJointly
1996,0.36,147700,263750,marriedFilingJointly
1996,0.396,263750,,marriedFilingJointly
1996,0.15,0,20050,marriedFilingSeparately
1996,0.28,20050,48450,marriedFilingSeparately
1996,0.31,48450,73850,marriedFilingSeparately
1996,0.36,73850,131875,marriedFilingSeparately
1996,0.396,131875,,marriedFilingSeparately
1996,0.15,0,24000,single
1996,0.28,24000,58150,single
1996,0.31,58150,121300,single
1996,0.36,121300,263750,single
1996,0.396,263750,,single
1995,0.15,0,31250,headOfHousehold
1995,0.28,31250,80750,headOfHousehold
1995,0.31,80750,130800,headOfHousehold
1995,0.36,130800,256500,headOfHousehold
1995,0.396,256500,,headOfHousehold
1995,0.15,0,39000,marriedFilingJointly
1995,0.28,39000,94250,marriedFilingJointly
1995,0.31,94250,143600,marriedFilingJointly
1995,0.36,143600,256500,marriedFilingJointly
1995,0.396,256500,,marriedFilingJointly
1995,0.15,0,19500,marriedFilingSeparately
1995,0.28,19500,47125,marriedFilingSeparately
1995,0.31,47125,71800,marriedFilingSeparately
1995,0.36,71800,128250,marriedFilingSeparately
1995,0.396,128250,,marriedFilingSeparately
1995,0.15,0,23350,single
1995,0.28,23350,56550,single
1995,0.31,56550,117950,single
1995,0.36,117950,256500,single
1995,0.396,256500,,single
1994,0.15,0,30500,headOfHousehold
1994,0.28,30500,78700,headOfHousehold
1994,0.31,78700,127500,headOfHousehold
1994,0.36,127500,250000,headOfHousehold
1994,0.396,250000,,headOfHousehold
1994,0.15,0,38000,marriedFilingJointly
1994,0.28,38000,91850,marriedFilingJointly
1994,0.31,91850,140000,marriedFilingJointly
1994,0.36,140000,250000,marriedFilingJointly
1994,0.396,250000,,marriedFilingJointly
1994,0.15,0,19000,marriedFilingSeparately
1994,0.28,19000,45925,marriedFilingSeparately
1994,0.31,45925,70000,marriedFilingSeparately
1994,0.36,70000,125000,marriedFilingSeparately
1994,0.396,125000,,marriedFilingSeparately
1994,0.15,0,22750,single
1994,0.28,22750,55100,single
1994,0.31,55100,115000,single
1994,0.36,115000,250000,single
1994,0.396,250000,,single
1993,0.15,0,29600,headOfHousehold
1993,0.28,29600,76400,headOfHousehold
1993,0.31,76400,127500,headOfHousehold
1993,0.36,127500,250000,headOfHousehold
1993,0.396,250000,,headOfHousehold
1993,0.15,0,36900,marriedFilingJointly
1993,0.28,36900,89150,marriedFilingJointly
1993,0.31,89150,140000,marriedFilingJointly
1993,0.36,140000,250000,marriedFilingJointly
1993,0.396,250000,,marriedFilingJointly
1993,0.15,0,18450,marriedFilingSeparately
1993,0.28,18450,44575,marriedFilingSeparately
1993,0.31,44575,70000,marriedFilingSeparately
1993,0.36,70000,125000,marriedFilingSeparately
1993,0.396,125000,,marriedFilingSeparately
1993,0.15,0,22100,single
1993,0.28,22100,53500,single
1993,0.31,53500,115000,single
1993,0.36,115000,250000,single
1993,0.396,250000,,single
1992,0.15,0,28750,headOfHousehold
1992,0.28,28750,74150,headOfHousehold
1992,0.31,74150,,headOfHousehold
1992,0.15,0,35800,marriedFilingJointly
1992,0.28,35800,86500,marriedFilingJointly
1992,0.31,86500,,marriedFilingJointly
1992,0.15,0,17900,marriedFilingSeparately
1992,0.28,17900,43250,marriedFilingSeparately
1992,0.31,43250,,marriedFilingSeparately
1992,0.15,0,21450,single
1992,0.28,21450,51900,single
1992,0.31,51900,,single
1991,0.15,0,27300,headOfHousehold
1991,0.28,27300,70450,headOfHousehold
1991,0.31,70450,,headOfHousehold
1991,0.15,0,34000,marriedFilingJointly
1991,0.28,34000,82150,marriedFilingJointly
1991,0.31,82150,,marriedFilingJointly
1991,0.15,0,17000,marriedFilingSeparately
1991,0.28,17000,41075,marriedFilingSeparately
1991,0.31,41075,,marriedFilingSeparately
1991,0.15,0,20350,single
1991,0.28,20350,49300,single
1991,0.31,49300,,single
1990,0.15,0,26050,headOfHousehold
1990,0.28,26050,,headOfHousehold
1990,0.15,0,32450,marriedFilingJointly
1990,0.28,32450,,marriedFilingJointly
1990,0.15,0,16225,marriedFilingSeparately
1990,0.28,16225,,marriedFilingSeparately
1990,0.15,0,19450,single
1990,0.28,19450,,single
1989,0.15,0,24850,headOfHousehold
1989,0.28,24850,,headOfHousehold
1989,0.15,0,30950,marriedFilingJointly
1989,0.28,30950,,marriedFilingJointly
1989,0.15,0,15475,marriedFilingSeparately
1989,0.28,15475,,marriedFilingSeparately
1989,0.15,0,18550,single
1989,0.28,18550,,single
1988,0.15,0,23900,headOfHousehold
1988,0.28,23900,,headOfHousehold
1988,0.15,0,29750,marriedFilingJointly
1988,0.28,29750,,marriedFilingJointly
1988,0.15,0,14875,marriedFilingSeparately
1988,0.28,14875,,marriedFilingSeparately
1988,0.15,0,17850,single
1988,0.28,17850,,single
1987,0.11,0,2500,headOfHousehold
1987,0.15,2500,23000,headOfHousehold
1987,0.28,23000,38000,headOfHousehold
