"COU","Country","CORP_TAX","Corporate income tax rate","TAR","Targeted","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BEL","Belgium","CIT_RATE","Corporate income tax rate","Y","Y","2010","2010","PC","Percentage","0","units",,,33,,
"BEL","Belgium","CIT_RATE","Corporate income tax rate","Y","Y","2011","2011","PC","Percentage","0","units",,,33,,
"BEL","Belgium","CIT_RATE","Corporate income tax rate","Y","Y","2012","2012","PC","Percentage","0","units",,,33,,
"BEL","Belgium","CIT_RATE","Corporate income tax rate","Y","Y","2013","2013","PC","Percentage","0","units",,,33,,
"BEL","Belgium","CIT_RATE","Corporate income tax rate","Y","Y","2014","2014","PC","Percentage","0","units",,,33,,
"BEL","Belgium","CIT_RATE","Corporate income tax rate","Y","Y","2015","2015","PC","Percentage","0","units",,,33,,
"CAN","Canada","CIT_RATE","Corporate income tax rate","Y","Y","2000","2000","PC","Percentage","0","units",,,29.12,,
"CAN","Canada","CIT_RATE","Corporate income tax rate","Y","Y","2001","2001","PC","Percentage","0","units",,,28.12,,
"CAN","Canada","CIT_RATE","Corporate income tax rate","Y","Y","2002","2002","PC","Percentage","0","units",,,26.12,,
"CAN","Canada","CIT_RATE","Corporate income tax rate","Y","Y","2003","2003","PC","Percentage","0","units",,,24.12,,
"CAN","Canada","CIT_RATE","Corporate income tax rate","Y","Y","2004","2004","PC","Percentage","0","units",,,22.12,,
"CAN","Canada","CIT_RATE","Corporate income tax rate","Y","Y","2005","2005","PC","Percentage","0","units",,,22.12,,
"CAN","Canada","CIT_RATE","Corporate income tax rate","Y","Y","2006","2006","PC","Percentage","0","units",,,22.12,,
"CAN","Canada","CIT_RATE","Corporate income tax rate","Y","Y","2007","2007","PC","Percentage","0","units",,,22.12,,
"CAN","Canada","CIT_RATE","Corporate income tax rate","Y","Y","2008","2008","PC","Percentage","0","units",,,19.5,,
"CAN","Canada","CIT_RATE","Corporate income tax rate","Y","Y","2009","2009","PC","Percentage","0","units",,,19.5,,
"CAN","Canada","CIT_RATE","Corporate income tax rate","Y","Y","2010","2010","PC","Percentage","0","units",,,18,,
"CAN","Canada","CIT_RATE","Corporate income tax rate","Y","Y","2011","2011","PC","Percentage","0","units",,,16.5,,
"CAN","Canada","CIT_RATE","Corporate income tax rate","Y","Y","2012","2012","PC","Percentage","0","units",,,15,,
"CAN","Canada","CIT_RATE","Corporate income tax rate","Y","Y","2013","2013","PC","Percentage","0","units",,,15,,
"CAN","Canada","CIT_RATE","Corporate income tax rate","Y","Y","2014","2014","PC","Percentage","0","units",,,15,,
